id,attr_id,describe,attr_type,value_min,value_max,weight,attr_comat_const
10020506,10020500,,20,0.01,0.45,10,90
10030501,10030500,饰品,7,0.01,0.09,10,90
10030502,10030500,,8,0.01,0.09,10,90
10030503,10030500,,12,0.01,0.18,10,90
10030504,10030500,,13,0.01,0.18,10,90
10030505,10030500,,15,0.01,0.15,10,90
10030506,10030500,,16,0.01,0.3,10,90
1000,1000,GM武器,0,30000,30000,10,1000
1001,1001,,1,30000,30000,10,1000
1002,1002,,4,100,100,10,1000
1003,1003,,3,30000,30000,10,1000
