id,item,des,jump_type1,jump_page1,jump_type2,jump_page2,jump_type3,jump_page3,jump_type4,jump_page4,des1,desc2,des3
68,4:20407:0:0,drop_message_68,8,1,8,2,11,0,,,命中宝石VII,竞技场黑市，综合黑市，公会商店获得,
69,4:20408:0:0,drop_message_69,8,1,8,2,11,0,,,命中宝石VIII,竞技场黑市，综合黑市，公会商店获得,
70,4:20409:0:0,drop_message_70,8,1,8,2,11,0,,,命中宝石IX,竞技场黑市，综合黑市，公会商店获得,
71,4:20410:0:0,drop_message_71,8,1,8,2,11,0,,,命中宝石X,竞技场黑市，综合黑市，公会商店获得,
72,4:20501:0:0,drop_message_72,8,1,8,2,11,0,,,闪避宝石I,竞技场黑市，综合黑市，公会商店获得,
73,4:20502:0:0,drop_message_73,8,1,8,2,11,0,,,闪避宝石II,竞技场黑市，综合黑市，公会商店获得,
74,4:20503:0:0,drop_message_74,8,1,8,2,11,0,,,闪避宝石III,竞技场黑市，综合黑市，公会商店获得,
75,4:20504:0:0,drop_message_75,8,1,8,2,11,0,,,闪避宝石IV,竞技场黑市，综合黑市，公会商店获得,
76,4:20505:0:0,drop_message_76,8,1,8,2,11,0,,,闪避宝石V,竞技场黑市，综合黑市，公会商店获得,
77,4:20506:0:0,drop_message_77,8,1,8,2,11,0,,,闪避宝石VI,竞技场黑市，综合黑市，公会商店获得,
78,4:20507:0:0,drop_message_78,8,1,8,2,11,0,,,闪避宝石VII,竞技场黑市，综合黑市，公会商店获得,
79,4:20508:0:0,drop_message_79,8,1,8,2,11,0,,,闪避宝石VIII,竞技场黑市，综合黑市，公会商店获得,
80,4:20509:0:0,drop_message_80,8,1,8,2,11,0,,,闪避宝石IX,竞技场黑市，综合黑市，公会商店获得,
81,4:20510:0:0,drop_message_81,8,1,8,2,11,0,,,闪避宝石X,竞技场黑市，综合黑市，公会商店获得,
82,4:20601:0:0,drop_message_82,8,1,8,2,11,0,,,暴击宝石I,竞技场黑市，综合黑市，公会商店获得,
83,4:20602:0:0,drop_message_83,8,1,8,2,11,0,,,暴击宝石II,竞技场黑市，综合黑市，公会商店获得,
84,4:20603:0:0,drop_message_84,8,1,8,2,11,0,,,暴击宝石III,竞技场黑市，综合黑市，公会商店获得,
85,4:20604:0:0,drop_message_85,8,1,8,2,11,0,,,暴击宝石IV,竞技场黑市，综合黑市，公会商店获得,
86,4:20605:0:0,drop_message_86,8,1,8,2,11,0,,,暴击宝石V,竞技场黑市，综合黑市，公会商店获得,
87,4:20606:0:0,drop_message_87,8,1,8,2,11,0,,,暴击宝石VI,竞技场黑市，综合黑市，公会商店获得,
88,4:20607:0:0,drop_message_88,8,1,8,2,11,0,,,暴击宝石VII,竞技场黑市，综合黑市，公会商店获得,
89,4:20608:0:0,drop_message_89,8,1,8,2,11,0,,,暴击宝石VIII,竞技场黑市，综合黑市，公会商店获得,
90,4:20609:0:0,drop_message_90,8,1,8,2,11,0,,,暴击宝石IX,竞技场黑市，综合黑市，公会商店获得,
91,4:20610:0:0,drop_message_91,8,1,8,2,11,0,,,暴击宝石X,竞技场黑市，综合黑市，公会商店获得,
92,4:20901:0:0,drop_message_92,8,1,8,2,11,0,,,格挡宝石I,竞技场黑市，综合黑市，公会商店获得,
93,4:20902:0:0,drop_message_93,8,1,8,2,11,0,,,格挡宝石II,竞技场黑市，综合黑市，公会商店获得,
94,4:20903:0:0,drop_message_94,8,1,8,2,11,0,,,格挡宝石III,竞技场黑市，综合黑市，公会商店获得,
95,4:20904:0:0,drop_message_95,8,1,8,2,11,0,,,格挡宝石IV,竞技场黑市，综合黑市，公会商店获得,
96,4:20905:0:0,drop_message_96,8,1,8,2,11,0,,,格挡宝石V,竞技场黑市，综合黑市，公会商店获得,
97,4:20906:0:0,drop_message_97,8,1,8,2,11,0,,,格挡宝石VI,竞技场黑市，综合黑市，公会商店获得,
98,4:20907:0:0,drop_message_98,8,1,8,2,11,0,,,格挡宝石VII,竞技场黑市，综合黑市，公会商店获得,
99,4:20908:0:0,drop_message_99,8,1,8,2,11,0,,,格挡宝石VIII,竞技场黑市，综合黑市，公会商店获得,
100,4:20909:0:0,drop_message_100,8,1,8,2,11,0,,,格挡宝石IX,竞技场黑市，综合黑市，公会商店获得,
101,4:20910:0:0,drop_message_101,8,1,8,2,11,0,,,格挡宝石X,竞技场黑市，综合黑市，公会商店获得,
102,4:40001:0:0,drop_message_102,8,2,8,3,8,4,,,升星宝石I,竞技场、世界BOSS、远征黑市获得,
103,4:40002:0:0,drop_message_103,8,2,8,3,8,4,,,升星宝石II,竞技场、世界BOSS、远征黑市获得,
104,4:40003:0:0,drop_message_104,8,2,8,3,8,4,,,升星宝石III,竞技场、世界BOSS、远征黑市获得,
105,4:40004:0:0,drop_message_105,8,2,8,3,8,4,,,升星宝石IV,竞技场、世界BOSS、远征黑市获得,
106,4:50011:0:0,drop_message_106,1,10102;10804,,,,,,,利牙,副本，综合黑市获得,
107,4:50032:0:0,drop_message_107,1,10904,,,,,,,奎刚,副本，综合黑市获得,
108,4:50051:0:0,drop_message_108,1,10105,,,,,,,肥肥,副本，综合黑市获得,
109,4:50041:0:0,drop_message_109,6,1,,,,,,,贝贝,商店抽卡获得,
110,4:50081:0:0,drop_message_110,6,1,,,,,,,硫克,商店抽卡获得,
111,4:50091:0:0,drop_message_111,6,1,,,,,,,珍妮,商店抽卡获得,
112,4:50102:0:0,drop_message_112,1,10308,,,,,,,雷克泰勒,副本，商店抽卡获得,
113,4:50112:0:0,drop_message_113,6,1,,,,,,,巴鲁克,商店抽卡获得,
114,4:50122:0:0,drop_message_114,6,1,,,,,,,影,公会商店，商店抽卡获得,
115,4:50132:0:0,drop_message_115,1,10610;11008,,,,,,,莉迪亚,副本，商店抽卡获得,
116,4:50143:0:0,drop_message_116,1,30308,,,,,,,苍狼维克多,副本，商店抽卡获得,
117,4:50151:0:0,drop_message_117,1,10403,,,,,,,狮鹫,副本，综合黑市获得,
118,4:50162:0:0,drop_message_118,1,10406;10808,,,,,,,布朗尼雅,副本，商店抽卡获得,
119,4:50172:0:0,drop_message_119,1,10409;10812,,,,,,,泰尔诺德,副本，商店抽卡获得,
120,4:50184:0:0,drop_message_120,6,1,,,,,,,雅克·莫莱,竞技场黑市，商店抽卡获得,
121,4:50203:0:0,drop_message_121,1,10503,,,,,,,利库,副本，综合黑市获得,
122,4:50234:0:0,drop_message_122,,,,,,,,,依米莉亚,活动获得,
123,4:50242:0:0,drop_message_123,1,10506,,,,,,,伊瑟拉,副本，商店抽卡获得,
124,4:50273:0:0,drop_message_124,6,1,,,,,,,暴风雪赫敏,竞技场黑市，商店抽卡获得,
125,4:50292:0:0,drop_message_125,1,10711;10908,,,,,,,禁军·蜂,副本，商店抽卡获得,
126,4:50302:0:0,drop_message_126,1,10707,,,,,,,禁军·魔刃,副本，商店抽卡获得,
127,4:50313:0:0,drop_message_127,1,10304;10912,,,,,,,禁军·聚能,副本，商店抽卡获得,
128,4:50324:0:0,drop_message_128,6,1,,,,,,,伊扎克,公会商店，商店抽卡获得,
129,4:50332:0:0,drop_message_129,1,10703;11012,,,,,,,禁军·铁手,副本，商店抽卡获得,
130,4:50342:0:0,drop_message_130,1,10207,,,,,,,禁军·魔弓,副本，商店抽卡获得,
131,4:50353:0:0,drop_message_131,6,1,,,,,,,团长 罗兰,商店抽卡获得,
132,4:50362:0:0,drop_message_132,1,10603,,,,,,,基恩,副本，商店抽卡获得,
133,4:50373:0:0,drop_message_133,1,30610,,,,,,,特罗,副本，商店抽卡获得,
134,4:50423:0:0,drop_message_134,6,1,,,,,,,狼族·族长,公会商店，商店抽卡获得,
135,4:50432:0:0,drop_message_135,1,10510,,,,,,,布朗奇,竞技场黑市公会商店获得,
136,4:50494:0:0,drop_message_136,8,2,,,,,,,傀儡女王,竞技场黑市获得,
142,4:50591:0:0,drop_message_142,6,1,,,,,,,发条兔,商店抽卡获得,
143,4:50601:0:0,drop_message_143,1,10204,,,,,,,爆爆熊,副本，商店抽卡获得,
144,4:50611:0:0,drop_message_144,6,1,,,,,,,铁皮猫,商店抽卡获得,
145,4:50631:0:0,drop_message_145,6,1,,,,,,,辣椒,商店抽卡获得,
146,4:50653:0:0,drop_message_146,6,1,,,,,,,维克多,商店抽卡获得,
147,4:50663:0:0,drop_message_147,8,2,11,0,,,,,苍狼,竞技场黑市公会商店获得,
148,4:50691:0:0,drop_message_148,8,1,,,,,,,壮壮,综合黑市获得,
149,4:50981:0:0,drop_message_149,1,10101;20101;30101,,,,,,,羊,所有副本概率掉落,
150,4:50991:0:0,drop_message_150,1,10101;20101;30101,,,,,,,羊,所有副本概率掉落,
151,4:51001:0:0,drop_message_151,1,10101;20101;30101,,,,,,,羊,所有副本概率掉落,
152,4:51013:0:0,drop_message_152,,,,,,,,,艾琳·乔依娜,活动获得,
153,4:51023:0:0,drop_message_153,6,1,,,,,,,艾尔·诺德,积分黑市，商店抽卡获得,
154,4:51034:0:0,drop_message_154,6,1,,,,,,,盖拉德丽尔,商店抽卡获得,
155,4:51044:0:0,drop_message_155,6,1,,,,,,,阿妮朵拉,商店抽卡获得,
156,4:51054:0:0,drop_message_156,6,1,1,30812,,,,,九尾狐·桔梗,副本，商店抽卡获得,
157,4:51074:0:0,drop_message_157,6,1,1,30711,,,,,贝丽谢尔 ,副本，商店抽卡获得,
158,4:51084:0:0,drop_message_158,6,1,,,,,,,亚岱尔,商店抽卡获得,
159,4:51093:0:0,drop_message_159,6,1,1,30105,,,,,格力斯特 ,副本，商店抽卡获得,
160,4:51104:0:0,drop_message_160,6,1,1,31012,,,,,米歇尔,副本，商店抽卡获得,
161,4:51123:0:0,drop_message_161,6,1,,,,,,,阿瑟,商店抽卡获得,
162,4:51154:0:0,drop_message_162,6,1,,,,,,,朱莉娅,远征黑市，商店抽卡获得,
163,4:51173:0:0,drop_message_163,6,1,1,30409,,,,,露露,副本，商店抽卡获得,
164,4:51193:0:0,drop_message_164,6,1,,,,,,,拉谢尔,积分黑市，商店抽卡获得,
165,4:51204:0:0,drop_message_165,6,1,1,30510,,,,,吉娜,副本，商店抽卡获得,
166,4:51214:0:0,drop_message_166,6,1,1,30912,,,,,洛瑞妮,副本，商店抽卡获得,
167,4:51224:0:0,drop_message_167,6,1,,,,,,,安德烈,世界BOSS黑市，商店抽卡获得,
168,4:51243:0:0,drop_message_168,6,1,,,,,,,挨拉,远征黑市，商店抽卡获得,
169,4:51254:0:0,drop_message_169,7,0,,,,,,,女仆长,签到获得,
170,4:51284:0:0,drop_message_170,8,5,,,,,,,狄丽斯,积分黑市获得,
171,4:51294:0:0,drop_message_171,6,1,,,,,,,雪梨,世界BOSS黑市，商店抽卡获得,
172,4:51304:0:0,drop_message_172,11,0,,,,,,,傲娇娘,公会商店获得,
173,4:51314:0:0,drop_message_173,6,1,,,,,,,千香,商店抽卡获得,
174,4:51334:0:0,drop_message_174,8,1,,,,,,,金闪闪,综合黑市获得,
175,4:51344:0:0,drop_message_175,6,1,,,,,,,仓木,商店抽卡获得,
176,4:51363:0:0,drop_message_176,1,10606;11004,,,,,,,英梨,副本，公会商店获得,
177,4:51374:0:0,drop_message_177,8,4,,,,,,,由宇,世界BOSS黑市获得,
178,4:51384:0:0,drop_message_178,1,30207,,,,,,,雷拉,副本，商店抽卡获得,
179,4:51394:0:0,drop_message_179,8,3,,,,,,,葱娘,远征黑市获得,
180,4:51403:0:0,drop_message_180,6,1,,,,,,,艾丽塔,商店抽卡获得,
181,4:51414:0:0,drop_message_181,6,1,,,,,,,伊露,商店抽卡获得,
182,4:51464:0:0,drop_message_182,6,1,8,1,,,,,菲·克劳塞尔,综合黑市，商店抽卡获得,
183,4:51474:0:0,drop_message_183,,,,,,,,,喵酱,活动获得,
184,4:51480:0:0,drop_message_184,,,,,,,,,浅浅,活动获得,
185,4:51490:0:0,drop_message_185,,,,,,,,,范范,活动获得,
186,4:51550:0:0,drop_message_186,,,,,,,,,骷髅兵(亚种),无获得,
187,4:51560:0:0,drop_message_187,,,,,,,,,小恶魔(亚种),无获得,
188,4:51570:0:0,drop_message_188,,,,,,,,,发条兔(亚种),无获得,
189,4:51580:0:0,drop_message_189,,,,,,,,,暴暴熊(亚种),无获得,
190,4:51590:0:0,drop_message_190,,,,,,,,,铁皮猫(亚种),无获得,
191,4:51600:0:0,drop_message_191,,,,,,,,,狮鹫(亚种),无获得,
192,4:51610:0:0,drop_message_192,,,,,,,,,伊瑟拉(亚种),无获得,
193,4:51620:0:0,drop_message_193,,,,,,,,,利牙(亚种),无获得,
194,4:52004:0:0,drop_message_194,12,1,,,,,,,初心者,任务获得,
195,4:52015:0:0,drop_message_195,,,,,,,,,毁灭者,BOSS列表获得,
196,4:52026:0:0,drop_message_196,,,,,,,,,游侠,BOSS列表获得,
197,4:52036:0:0,drop_message_197,,,,,,,,,武士,BOSS列表获得,
201,4:60112:0:0,drop_message_201,1,20102,8,6,,,,,铁质长枪,副本，器魂商店获得,
202,4:60212:0:0,drop_message_202,1,20204,8,6,,,,,铁质战斧,副本，器魂商店获得,
203,4:60312:0:0,drop_message_203,1,20304,8,6,,,,,长柄魔杖,副本，器魂商店获得,
204,4:60412:0:0,drop_message_204,1,20403,8,6,,,,,轻木权杖,副本，器魂商店获得,
205,4:60512:0:0,drop_message_205,1,20406,8,6,,,,,铁质大剑,副本，器魂商店获得,
206,4:60122:0:0,drop_message_206,1,20102,8,6,,,,,铁质铠甲,副本，器魂商店获得,
207,4:60222:0:0,drop_message_207,1,20204,8,6,,,,,兽皮战甲,副本，器魂商店获得,
208,4:60322:0:0,drop_message_208,1,20304,8,6,,,,,棉质法袍,副本，器魂商店获得,
209,4:60422:0:0,drop_message_209,1,20403,8,6,,,,,棉质风衣,副本，器魂商店获得,
210,4:60522:0:0,drop_message_210,1,20406,8,6,,,,,铁质锁甲,副本，器魂商店获得,
211,4:60132:0:0,drop_message_211,1,20102,8,6,,,,,铁质勋章,副本，器魂商店获得,
212,4:60232:0:0,drop_message_212,1,20204,8,6,,,,,兽牙项链,副本，器魂商店获得,
213,4:60332:0:0,drop_message_213,1,20304,8,6,,,,,珍珠戒指,副本，器魂商店获得,
214,4:60432:0:0,drop_message_214,1,20403,8,6,,,,,恢复圣典,副本，器魂商店获得,
215,4:60532:0:0,drop_message_215,1,20406,8,6,,,,,兽骨指环,副本，器魂商店获得,
216,4:60113:0:0,drop_message_216,1,20503,8,6,,,,,强化的铁质长枪,副本，器魂商店获得,
217,4:60213:0:0,drop_message_217,1,20506,8,6,,,,,强化的铁质战斧,副本，器魂商店获得,
218,4:60313:0:0,drop_message_218,1,20603,8,6,,,,,强化的长柄魔杖,副本，器魂商店获得,
219,4:60413:0:0,drop_message_219,1,20606,8,6,,,,,强化的轻木权杖,副本，器魂商店获得,
220,4:60513:0:0,drop_message_220,1,20707,8,6,,,,,强化的铁质大剑,副本，器魂商店获得,
221,4:60123:0:0,drop_message_221,1,20503,8,6,,,,,强化的铁质铠甲,副本，器魂商店获得,
222,4:60223:0:0,drop_message_222,1,20506,8,6,,,,,强化的兽皮战甲,副本，器魂商店获得,
223,4:60323:0:0,drop_message_223,1,20603,8,6,,,,,强化的棉质法袍,副本，器魂商店获得,
224,4:60423:0:0,drop_message_224,1,20606,8,6,,,,,强化的棉质风衣,副本，器魂商店获得,
225,4:60523:0:0,drop_message_225,1,20707,8,6,,,,,强化的铁质锁甲,副本，器魂商店获得,
226,4:60133:0:0,drop_message_226,1,20503,8,6,,,,,强化的铁质勋章,副本，器魂商店获得,
227,4:60233:0:0,drop_message_227,1,20506,8,6,,,,,强化的兽牙项链,副本，器魂商店获得,
228,4:60333:0:0,drop_message_228,1,20603,8,6,,,,,强化的珍珠戒指,副本，器魂商店获得,
229,4:60433:0:0,drop_message_229,1,20606,8,6,,,,,强化的恢复圣典,副本，器魂商店获得,
230,4:60533:0:0,drop_message_230,1,20707,8,6,,,,,强化的兽骨指环,副本，器魂商店获得,
231,4:60114:0:0,drop_message_231,1,20105,8,6,,,,,誓言长枪,副本，器魂商店获得,
232,4:60214:0:0,drop_message_232,1,20207,8,6,,,,,无畏战斧,副本，器魂商店获得,
233,4:60314:0:0,drop_message_233,1,20308,8,6,,,,,暴风魔杖,副本，器魂商店获得,
234,4:60414:0:0,drop_message_234,1,20409,8,6,,,,,祈祷权杖,副本，器魂商店获得,
235,4:60514:0:0,drop_message_235,1,20510,8,6,,,,,雷霆大剑,副本，器魂商店获得,
236,4:60124:0:0,drop_message_236,1,20105,8,6,,,,,誓言铠甲,副本，器魂商店获得,
237,4:60224:0:0,drop_message_237,1,20207,8,6,,,,,无畏战甲,副本，器魂商店获得,
238,4:60324:0:0,drop_message_238,1,20308,8,6,,,,,暴风法袍,副本，器魂商店获得,
239,4:60424:0:0,drop_message_239,1,20409,8,6,,,,,祈祷风衣,副本，器魂商店获得,
240,4:60524:0:0,drop_message_240,1,20510,8,6,,,,,雷霆锁甲,副本，器魂商店获得,
241,4:60134:0:0,drop_message_241,1,20105,8,6,,,,,誓言勋章,副本，器魂商店获得,
242,4:60234:0:0,drop_message_242,1,20207,8,6,,,,,无畏项链,副本，器魂商店获得,
243,4:60334:0:0,drop_message_243,1,20308,8,6,,,,,暴风戒指,副本，器魂商店获得,
244,4:60434:0:0,drop_message_244,1,20409,8,6,,,,,祈祷圣典,副本，器魂商店获得,
245,4:60534:0:0,drop_message_245,1,20510,8,6,,,,,雷霆指环,副本，器魂商店获得,
246,4:60115:0:0,drop_message_246,1,20610,8,6,,,,,审判长枪,副本，器魂商店获得,
247,4:60215:0:0,drop_message_247,1,20711,8,6,,,,,裂空战斧,副本，器魂商店获得,
248,4:60315:0:0,drop_message_248,1,20812,8,6,,,,,飓风魔杖,副本，器魂商店获得,
249,4:60415:0:0,drop_message_249,1,20912,8,6,,,,,神佑权杖,副本，器魂商店获得,
250,4:60515:0:0,drop_message_250,1,21012,8,6,,,,,毁灭大剑,副本，器魂商店获得,
251,4:60125:0:0,drop_message_251,1,20610,8,6,,,,,审判铠甲,副本，器魂商店获得,
252,4:60225:0:0,drop_message_252,1,20711,8,6,,,,,裂空战甲,副本，器魂商店获得,
253,4:60325:0:0,drop_message_253,1,20812,8,6,,,,,飓风法袍,副本，器魂商店获得,
254,4:60425:0:0,drop_message_254,1,20912,8,6,,,,,神佑风衣,副本，器魂商店获得,
255,4:60525:0:0,drop_message_255,1,21012,8,6,,,,,毁灭锁甲,副本，器魂商店获得,
256,4:60135:0:0,drop_message_256,1,20610,8,6,,,,,审判勋章,副本，器魂商店获得,
257,4:60235:0:0,drop_message_257,1,20711,8,6,,,,,裂空项链,副本，器魂商店获得,
258,4:60335:0:0,drop_message_258,1,20812,8,6,,,,,飓风戒指,副本，器魂商店获得,
259,4:60435:0:0,drop_message_259,1,20912,8,6,,,,,神佑圣典,副本，器魂商店获得,
260,4:60535:0:0,drop_message_260,1,21012,8,6,,,,,毁灭指环,副本，器魂商店获得,
261,2:1:0:0,drop_message_261,1,10804,,,,,,,利牙,副本，综合黑市获得,
262,2:3:0:0,drop_message_262,1,10102;10904,,,,,,,奎刚,副本，综合黑市获得,
263,2:5:0:0,drop_message_263,1,10105,,,,,,,肥肥,副本，综合黑市获得,
264,2:4:0:0,drop_message_264,6,1,,,,,,,贝贝,商店抽卡获得,
265,2:8:0:0,drop_message_265,6,1,,,,,,,硫克,商店抽卡获得,
266,2:9:0:0,drop_message_266,6,1,,,,,,,珍妮,商店抽卡获得,
267,2:10:0:0,drop_message_267,1,10308,,,,,,,雷克泰勒,副本，商店抽卡获得,
268,2:11:0:0,drop_message_268,6,1,,,,,,,巴鲁克,商店抽卡获得,
269,2:12:0:0,drop_message_269,6,1,,,,,,,影,公会商店，商店抽卡获得,
270,2:13:0:0,drop_message_270,1,10610;11008,,,,,,,莉迪亚,副本，商店抽卡获得,
271,2:14:0:0,drop_message_271,1,30308,,,,,,,苍狼维克多,副本，商店抽卡获得,
272,2:15:0:0,drop_message_272,1,10403,,,,,,,狮鹫,副本，综合黑市获得,
273,2:16:0:0,drop_message_273,1,10406;10808,,,,,,,布朗尼雅,副本，商店抽卡获得,
