id,rule_id,des1,item,scale,cost1,cost2,cost3,cost4
77,103,,4:60415:5:0,50,9:0:4000:0,-1,-1,-1
78,103,,4:60515:5:0,50,9:0:4000:0,-1,-1,-1
79,103,,4:60125:5:0,50,9:0:4000:0,-1,-1,-1
80,103,,4:60225:5:0,50,9:0:4000:0,-1,-1,-1
81,103,,4:60325:5:0,50,9:0:4000:0,-1,-1,-1
82,103,,4:60425:5:0,50,9:0:4000:0,-1,-1,-1
83,103,,4:60525:5:0,50,9:0:4000:0,-1,-1,-1
84,103,,4:60135:5:0,50,9:0:4000:0,-1,-1,-1
85,103,,4:60235:5:0,50,9:0:4000:0,-1,-1,-1
86,103,,4:60335:5:0,50,9:0:4000:0,-1,-1,-1
87,103,,4:60435:5:0,50,9:0:4000:0,-1,-1,-1
88,103,,4:60535:5:0,50,9:0:4000:0,-1,-1,-1
89,103,,4:60114:2:0,500,9:0:288:0,-1,-1,-1
90,103,,4:60214:2:0,500,9:0:288:0,-1,-1,-1
91,103,,4:60314:2:0,500,9:0:288:0,-1,-1,-1
92,103,,4:60414:2:0,500,9:0:288:0,-1,-1,-1
93,103,,4:60514:2:0,500,9:0:288:0,-1,-1,-1
94,103,,4:60124:2:0,500,9:0:288:0,-1,-1,-1
95,103,,4:60224:2:0,500,9:0:288:0,-1,-1,-1
96,103,,4:60324:2:0,500,9:0:288:0,-1,-1,-1
97,103,,4:60424:2:0,500,9:0:288:0,-1,-1,-1
98,103,,4:60524:2:0,500,9:0:288:0,-1,-1,-1
99,103,,4:60134:2:0,500,9:0:288:0,-1,-1,-1
100,103,,4:60234:2:0,500,9:0:288:0,-1,-1,-1
101,103,,4:60334:2:0,500,9:0:288:0,-1,-1,-1
102,103,,4:60434:2:0,500,9:0:288:0,-1,-1,-1
103,103,,4:60534:2:0,500,9:0:288:0,-1,-1,-1
104,103,,4:60114:10:0,100,9:0:1440:0,-1,-1,-1
105,103,,4:60214:10:0,100,9:0:1440:0,-1,-1,-1
106,103,,4:60314:10:0,100,9:0:1440:0,-1,-1,-1
107,103,,4:60414:10:0,100,9:0:1440:0,-1,-1,-1
108,103,,4:60514:10:0,100,9:0:1440:0,-1,-1,-1
109,103,,4:60124:10:0,100,9:0:1440:0,-1,-1,-1
110,103,,4:60224:10:0,100,9:0:1440:0,-1,-1,-1
111,103,,4:60324:10:0,100,9:0:1440:0,-1,-1,-1
112,103,,4:60424:10:0,100,9:0:1440:0,-1,-1,-1
113,103,,4:60524:10:0,100,9:0:1440:0,-1,-1,-1
114,103,,4:60134:10:0,100,9:0:1440:0,-1,-1,-1
115,103,,4:60234:10:0,100,9:0:1440:0,-1,-1,-1
116,103,,4:60334:10:0,100,9:0:1440:0,-1,-1,-1
117,103,,4:60434:10:0,100,9:0:1440:0,-1,-1,-1
118,103,,4:60534:10:0,100,9:0:1440:0,-1,-1,-1
119,103,,4:60113:5:0,1200,9:0:112:0,-1,-1,-1
120,103,,4:60213:5:0,1200,9:0:112:0,-1,-1,-1
121,103,,4:60313:5:0,1200,9:0:112:0,-1,-1,-1
122,103,,4:60413:5:0,1200,9:0:112:0,-1,-1,-1
123,103,,4:60513:5:0,1200,9:0:112:0,-1,-1,-1
124,103,,4:60123:5:0,1200,9:0:112:0,-1,-1,-1
125,103,,4:60223:5:0,1200,9:0:112:0,-1,-1,-1
126,103,,4:60323:5:0,1200,9:0:112:0,-1,-1,-1
127,103,,4:60423:5:0,1200,9:0:112:0,-1,-1,-1
128,103,,4:60523:5:0,1200,9:0:112:0,-1,-1,-1
129,103,,4:60133:5:0,1200,9:0:112:0,-1,-1,-1
130,103,,4:60233:5:0,1200,9:0:112:0,-1,-1,-1
131,103,,4:60333:5:0,1200,9:0:112:0,-1,-1,-1
132,103,,4:60433:5:0,1200,9:0:112:0,-1,-1,-1
133,103,,4:60533:5:0,1200,9:0:112:0,-1,-1,-1
134,103,,3:112:1:0,2400,9:0:40:0,-1,-1,-1
135,103,,3:212:1:0,2400,9:0:40:0,-1,-1,-1
136,103,,3:312:1:0,2400,9:0:40:0,-1,-1,-1
137,103,,3:412:1:0,2400,9:0:40:0,-1,-1,-1
138,103,,3:512:1:0,2400,9:0:40:0,-1,-1,-1
139,103,,3:122:1:0,2400,9:0:40:0,-1,-1,-1
140,103,,3:222:1:0,2400,9:0:40:0,-1,-1,-1
141,103,,3:322:1:0,2400,9:0:40:0,-1,-1,-1
142,103,,3:422:1:0,2400,9:0:40:0,-1,-1,-1
143,103,,3:522:1:0,2400,9:0:40:0,-1,-1,-1
144,103,,3:132:1:0,2400,9:0:40:0,-1,-1,-1
145,103,,3:232:1:0,2400,9:0:40:0,-1,-1,-1
146,103,,3:332:1:0,2400,9:0:40:0,-1,-1,-1
147,103,,3:432:1:0,2400,9:0:40:0,-1,-1,-1
148,103,,3:532:1:0,2400,9:0:40:0,-1,-1,-1
149,104,综合商店装备包2,4:60115:1:0,250,9:0:800:0,-1,-1,-1
150,104,,4:60215:1:0,250,9:0:800:0,-1,-1,-1
151,104,,4:60315:1:0,250,9:0:800:0,-1,-1,-1
152,104,,4:60415:1:0,250,9:0:800:0,-1,-1,-1
153,104,,4:60515:1:0,250,9:0:800:0,-1,-1,-1
154,104,,4:60125:1:0,250,9:0:800:0,-1,-1,-1
155,104,,4:60225:1:0,250,9:0:800:0,-1,-1,-1
156,104,,4:60325:1:0,250,9:0:800:0,-1,-1,-1
157,104,,4:60425:1:0,250,9:0:800:0,-1,-1,-1
158,104,,4:60525:1:0,250,9:0:800:0,-1,-1,-1
159,104,,4:60135:1:0,250,9:0:800:0,-1,-1,-1
160,104,,4:60235:1:0,250,9:0:800:0,-1,-1,-1
161,104,,4:60335:1:0,250,9:0:800:0,-1,-1,-1
162,104,,4:60435:1:0,250,9:0:800:0,-1,-1,-1
163,104,,4:60535:1:0,250,9:0:800:0,-1,-1,-1
164,104,,4:60115:5:0,50,9:0:4000:0,-1,-1,-1
165,104,,4:60215:5:0,50,9:0:4000:0,-1,-1,-1
166,104,,4:60315:5:0,50,9:0:4000:0,-1,-1,-1
167,104,,4:60415:5:0,50,9:0:4000:0,-1,-1,-1
168,104,,4:60515:5:0,50,9:0:4000:0,-1,-1,-1
169,104,,4:60125:5:0,50,9:0:4000:0,-1,-1,-1
170,104,,4:60225:5:0,50,9:0:4000:0,-1,-1,-1
171,104,,4:60325:5:0,50,9:0:4000:0,-1,-1,-1
172,104,,4:60425:5:0,50,9:0:4000:0,-1,-1,-1
173,104,,4:60525:5:0,50,9:0:4000:0,-1,-1,-1
174,104,,4:60135:5:0,50,9:0:4000:0,-1,-1,-1
175,104,,4:60235:5:0,50,9:0:4000:0,-1,-1,-1
176,104,,4:60335:5:0,50,9:0:4000:0,-1,-1,-1
177,104,,4:60435:5:0,50,9:0:4000:0,-1,-1,-1
178,104,,4:60535:5:0,50,9:0:4000:0,-1,-1,-1
179,104,,4:60114:2:0,500,9:0:288:0,-1,-1,-1
180,104,,4:60214:2:0,500,9:0:288:0,-1,-1,-1
181,104,,4:60314:2:0,500,9:0:288:0,-1,-1,-1
182,104,,4:60414:2:0,500,9:0:288:0,-1,-1,-1
183,104,,4:60514:2:0,500,9:0:288:0,-1,-1,-1
184,104,,4:60124:2:0,500,9:0:288:0,-1,-1,-1
185,104,,4:60224:2:0,500,9:0:288:0,-1,-1,-1
186,104,,4:60324:2:0,500,9:0:288:0,-1,-1,-1
187,104,,4:60424:2:0,500,9:0:288:0,-1,-1,-1
188,104,,4:60524:2:0,500,9:0:288:0,-1,-1,-1
189,104,,4:60134:2:0,500,9:0:288:0,-1,-1,-1
190,104,,4:60234:2:0,500,9:0:288:0,-1,-1,-1
191,104,,4:60334:2:0,500,9:0:288:0,-1,-1,-1
192,104,,4:60434:2:0,500,9:0:288:0,-1,-1,-1
193,104,,4:60534:2:0,500,9:0:288:0,-1,-1,-1
194,104,,4:60114:10:0,100,9:0:1440:0,-1,-1,-1
195,104,,4:60214:10:0,100,9:0:1440:0,-1,-1,-1
196,104,,4:60314:10:0,100,9:0:1440:0,-1,-1,-1
197,104,,4:60414:10:0,100,9:0:1440:0,-1,-1,-1
198,104,,4:60514:10:0,100,9:0:1440:0,-1,-1,-1
199,104,,4:60124:10:0,100,9:0:1440:0,-1,-1,-1
200,104,,4:60224:10:0,100,9:0:1440:0,-1,-1,-1
201,104,,4:60324:10:0,100,9:0:1440:0,-1,-1,-1
202,104,,4:60424:10:0,100,9:0:1440:0,-1,-1,-1
203,104,,4:60524:10:0,100,9:0:1440:0,-1,-1,-1
204,104,,4:60134:10:0,100,9:0:1440:0,-1,-1,-1
205,104,,4:60234:10:0,100,9:0:1440:0,-1,-1,-1
206,104,,4:60334:10:0,100,9:0:1440:0,-1,-1,-1
207,104,,4:60434:10:0,100,9:0:1440:0,-1,-1,-1
208,104,,4:60534:10:0,100,9:0:1440:0,-1,-1,-1
209,104,,4:60113:5:0,1200,9:0:112:0,-1,-1,-1
210,104,,4:60213:5:0,1200,9:0:112:0,-1,-1,-1
211,104,,4:60313:5:0,1200,9:0:112:0,-1,-1,-1
212,104,,4:60413:5:0,1200,9:0:112:0,-1,-1,-1
213,104,,4:60513:5:0,1200,9:0:112:0,-1,-1,-1
214,104,,4:60123:5:0,1200,9:0:112:0,-1,-1,-1
215,104,,4:60223:5:0,1200,9:0:112:0,-1,-1,-1
216,104,,4:60323:5:0,1200,9:0:112:0,-1,-1,-1
217,104,,4:60423:5:0,1200,9:0:112:0,-1,-1,-1
218,104,,4:60523:5:0,1200,9:0:112:0,-1,-1,-1
219,104,,4:60133:5:0,1200,9:0:112:0,-1,-1,-1
220,104,,4:60233:5:0,1200,9:0:112:0,-1,-1,-1
221,104,,4:60333:5:0,1200,9:0:112:0,-1,-1,-1
222,104,,4:60433:5:0,1200,9:0:112:0,-1,-1,-1
223,104,,4:60533:5:0,1200,9:0:112:0,-1,-1,-1
224,104,,3:112:1:0,2400,9:0:40:0,-1,-1,-1
225,104,,3:212:1:0,2400,9:0:40:0,-1,-1,-1
226,104,,3:312:1:0,2400,9:0:40:0,-1,-1,-1
227,104,,3:412:1:0,2400,9:0:40:0,-1,-1,-1
228,104,,3:512:1:0,2400,9:0:40:0,-1,-1,-1
229,104,,3:122:1:0,2400,9:0:40:0,-1,-1,-1
230,104,,3:222:1:0,2400,9:0:40:0,-1,-1,-1
231,104,,3:322:1:0,2400,9:0:40:0,-1,-1,-1
232,104,,3:422:1:0,2400,9:0:40:0,-1,-1,-1
233,104,,3:522:1:0,2400,9:0:40:0,-1,-1,-1
234,104,,3:132:1:0,2400,9:0:40:0,-1,-1,-1
235,104,,3:232:1:0,2400,9:0:40:0,-1,-1,-1
236,104,,3:332:1:0,2400,9:0:40:0,-1,-1,-1
237,104,,3:432:1:0,2400,9:0:40:0,-1,-1,-1
238,104,,3:532:1:0,2400,9:0:40:0,-1,-1,-1
239,105,杂物包1,4:10600:10:0,150,9:0:12:0,-1,-1,-1
240,105,,4:10601:5:0,150,9:0:60:0,-1,-1,-1
241,105,,4:10602:1:0,150,9:0:120:0,-1,-1,-1
242,105,,4:40001:1:0,150,9:0:100:0,-1,-1,-1
243,105,,4:40002:1:0,150,9:0:200:0,-1,-1,-1
244,105,,4:40003:1:0,150,9:0:400:0,-1,-1,-1
245,105,,4:40004:1:0,150,9:0:800:0,-1,-1,-1
246,105,,4:20002:1:0,100,9:0:60:0,-1,-1,-1
247,105,,4:10600:50:0,50,9:0:60:0,-1,-1,-1
248,105,,4:10601:25:0,50,9:0:300:0,-1,-1,-1
249,105,,4:10602:5:0,50,9:0:600:0,-1,-1,-1
250,105,,4:40001:5:0,50,9:0:500:0,-1,-1,-1
251,105,,4:40002:5:0,50,9:0:1000:0,-1,-1,-1
252,105,,4:40003:5:0,50,9:0:2000:0,-1,-1,-1
253,105,,4:40004:5:0,50,9:0:4000:0,-1,-1,-1
254,105,,4:20102:1:0,100,9:0:60:0,-1,-1,-1
255,105,,4:20202:1:0,100,9:0:60:0,-1,-1,-1
256,105,,4:20302:1:0,100,9:0:60:0,-1,-1,-1
257,105,,4:20402:1:0,100,9:0:60:0,-1,-1,-1
258,105,,4:20502:1:0,100,9:0:60:0,-1,-1,-1
259,105,,4:20602:1:0,100,9:0:60:0,-1,-1,-1
260,105,,4:20902:1:0,100,9:0:60:0,-1,-1,-1
261,105,,4:20004:1:0,100,9:0:540:0,-1,-1,-1
262,105,,4:20104:1:0,100,9:0:540:0,-1,-1,-1
263,105,,4:20204:1:0,100,9:0:540:0,-1,-1,-1
264,105,,4:20304:1:0,100,9:0:540:0,-1,-1,-1
265,105,,4:20404:1:0,100,9:0:540:0,-1,-1,-1
266,105,,4:20504:1:0,100,9:0:540:0,-1,-1,-1
267,105,,4:20604:1:0,100,9:0:540:0,-1,-1,-1
268,105,,4:20904:1:0,100,9:0:540:0,-1,-1,-1
269,105,,4:10350:2:0,1000,9:0:80:0,-1,-1,-1
270,106,杂物包2,4:10600:10:0,150,9:0:12:0,-1,-1,-1
271,106,,4:10601:5:0,150,9:0:60:0,-1,-1,-1
272,106,,4:10602:1:0,150,9:0:120:0,-1,-1,-1
273,106,,4:40001:1:0,150,9:0:100:0,-1,-1,-1
274,106,,4:40002:1:0,150,9:0:200:0,-1,-1,-1
275,106,,4:40003:1:0,150,9:0:400:0,-1,-1,-1
276,106,,4:40004:1:0,150,9:0:800:0,-1,-1,-1
277,106,,4:20002:1:0,100,9:0:60:0,-1,-1,-1
278,106,,4:10600:50:0,50,9:0:60:0,-1,-1,-1
279,106,,4:10601:25:0,50,9:0:300:0,-1,-1,-1
280,106,,4:10602:5:0,50,9:0:600:0,-1,-1,-1
281,106,,4:40001:5:0,50,9:0:500:0,-1,-1,-1
282,106,,4:40002:5:0,50,9:0:1000:0,-1,-1,-1
283,106,,4:40003:5:0,50,9:0:2000:0,-1,-1,-1
284,106,,4:40004:5:0,50,9:0:4000:0,-1,-1,-1
285,106,,4:20102:1:0,100,9:0:60:0,-1,-1,-1
286,106,,4:20202:1:0,100,9:0:60:0,-1,-1,-1
287,106,,4:20302:1:0,100,9:0:60:0,-1,-1,-1
288,106,,4:20402:1:0,100,9:0:60:0,-1,-1,-1
289,106,,4:20502:1:0,100,9:0:60:0,-1,-1,-1
290,106,,4:20602:1:0,100,9:0:60:0,-1,-1,-1
291,106,,4:20902:1:0,100,9:0:60:0,-1,-1,-1
292,106,,4:20004:1:0,100,9:0:540:0,-1,-1,-1
293,106,,4:20104:1:0,100,9:0:540:0,-1,-1,-1
294,106,,4:20204:1:0,100,9:0:540:0,-1,-1,-1
295,106,,4:20304:1:0,100,9:0:540:0,-1,-1,-1
296,106,,4:20404:1:0,100,9:0:540:0,-1,-1,-1
297,106,,4:20504:1:0,100,9:0:540:0,-1,-1,-1
298,106,,4:20604:1:0,100,9:0:540:0,-1,-1,-1
299,106,,4:20904:1:0,100,9:0:540:0,-1,-1,-1
300,106,,4:10350:2:0,1000,9:0:80:0,-1,-1,-1
301,107,杂物包3,4:10600:10:0,150,9:0:12:0,-1,-1,-1
302,107,,4:10601:5:0,150,9:0:60:0,-1,-1,-1
303,107,,4:10602:1:0,150,9:0:120:0,-1,-1,-1
304,107,,4:40001:1:0,150,9:0:100:0,-1,-1,-1
305,107,,4:40002:1:0,150,9:0:200:0,-1,-1,-1
306,107,,4:40003:1:0,150,9:0:400:0,-1,-1,-1
307,107,,4:40004:1:0,150,9:0:800:0,-1,-1,-1
308,107,,4:20002:1:0,100,9:0:60:0,-1,-1,-1
309,107,,4:10600:50:0,50,9:0:60:0,-1,-1,-1
310,107,,4:10601:25:0,50,9:0:300:0,-1,-1,-1
311,107,,4:10602:5:0,50,9:0:600:0,-1,-1,-1
312,107,,4:40001:5:0,50,9:0:500:0,-1,-1,-1
313,107,,4:40002:5:0,50,9:0:1000:0,-1,-1,-1
314,107,,4:40003:5:0,50,9:0:2000:0,-1,-1,-1
315,107,,4:40004:5:0,50,9:0:4000:0,-1,-1,-1
316,107,,4:20102:1:0,100,9:0:60:0,-1,-1,-1
317,107,,4:20202:1:0,100,9:0:60:0,-1,-1,-1
318,107,,4:20302:1:0,100,9:0:60:0,-1,-1,-1
319,107,,4:20402:1:0,100,9:0:60:0,-1,-1,-1
320,107,,4:20502:1:0,100,9:0:60:0,-1,-1,-1
321,107,,4:20602:1:0,100,9:0:60:0,-1,-1,-1
322,107,,4:20902:1:0,100,9:0:60:0,-1,-1,-1
323,107,,4:20004:1:0,100,9:0:540:0,-1,-1,-1
324,107,,4:20104:1:0,100,9:0:540:0,-1,-1,-1
325,107,,4:20204:1:0,100,9:0:540:0,-1,-1,-1
326,107,,4:20304:1:0,100,9:0:540:0,-1,-1,-1
327,107,,4:20404:1:0,100,9:0:540:0,-1,-1,-1
328,107,,4:20504:1:0,100,9:0:540:0,-1,-1,-1
329,107,,4:20604:1:0,100,9:0:540:0,-1,-1,-1
330,107,,4:20904:1:0,100,9:0:540:0,-1,-1,-1
331,107,,4:10350:5:0,1000,9:0:200:0,-1,-1,-1
332,108,杂物包4,4:10600:10:0,150,9:0:12:0,-1,-1,-1
333,108,,4:10601:5:0,150,9:0:60:0,-1,-1,-1
334,108,,4:10602:1:0,150,9:0:120:0,-1,-1,-1
335,108,,4:40001:1:0,150,9:0:100:0,-1,-1,-1
336,108,,4:40002:1:0,150,9:0:200:0,-1,-1,-1
337,108,,4:40003:1:0,150,9:0:400:0,-1,-1,-1
338,108,,4:40004:1:0,150,9:0:800:0,-1,-1,-1
339,108,,4:20002:1:0,100,9:0:60:0,-1,-1,-1
340,108,,4:10600:50:0,50,9:0:60:0,-1,-1,-1
341,108,,4:10601:25:0,50,9:0:300:0,-1,-1,-1
342,108,,4:10602:5:0,50,9:0:600:0,-1,-1,-1
343,108,,4:40001:5:0,50,9:0:500:0,-1,-1,-1
344,108,,4:40002:5:0,50,9:0:1000:0,-1,-1,-1
345,108,,4:40003:5:0,50,9:0:2000:0,-1,-1,-1
346,108,,4:40004:5:0,50,9:0:4000:0,-1,-1,-1
347,108,,4:20102:1:0,100,9:0:60:0,-1,-1,-1
348,108,,4:20202:1:0,100,9:0:60:0,-1,-1,-1
349,108,,4:20302:1:0,100,9:0:60:0,-1,-1,-1
350,108,,4:20402:1:0,100,9:0:60:0,-1,-1,-1
351,108,,4:20502:1:0,100,9:0:60:0,-1,-1,-1
352,108,,4:20602:1:0,100,9:0:60:0,-1,-1,-1
353,108,,4:20902:1:0,100,9:0:60:0,-1,-1,-1
354,108,,4:20004:1:0,100,9:0:540:0,-1,-1,-1
355,108,,4:20104:1:0,100,9:0:540:0,-1,-1,-1
356,108,,4:20204:1:0,100,9:0:540:0,-1,-1,-1
357,108,,4:20304:1:0,100,9:0:540:0,-1,-1,-1
358,108,,4:20404:1:0,100,9:0:540:0,-1,-1,-1
359,108,,4:20504:1:0,100,9:0:540:0,-1,-1,-1
360,108,,4:20604:1:0,100,9:0:540:0,-1,-1,-1
361,108,,4:20904:1:0,100,9:0:540:0,-1,-1,-1
362,108,,4:10350:5:0,1000,9:0:200:0,-1,-1,-1
363,201,竞技场商店橙色英雄,4:50494:1:0,10000,14:0:2000:0,-1,-1,-1
364,202,竞技场商店英雄包1,4:50184:2:0,1000,14:0:600:0,-1,-1,-1
365,203,竞技场商店英雄包2,4:50273:2:0,1000,14:0:600:0,-1,-1,-1
366,204,竞技场升星包1,4:40001:1:0,100,14:0:500:0,-1,-1,-1
367,204,,4:40001:2:0,100,14:0:1000:0,-1,-1,-1
368,204,,4:40001:3:0,100,14:0:1500:0,-1,-1,-1
369,204,,4:40001:5:0,100,14:0:2500:0,-1,-1,-1
370,204,,4:40002:1:0,100,14:0:1000:0,-1,-1,-1
371,204,,4:40002:2:0,100,14:0:2000:0,-1,-1,-1
372,204,,4:40002:3:0,100,14:0:3000:0,-1,-1,-1
373,204,,4:40003:1:0,100,14:0:2000:0,-1,-1,-1
374,204,,4:40003:2:0,100,14:0:4000:0,-1,-1,-1
375,204,,4:40004:1:0,100,14:0:4000:0,-1,-1,-1
376,205,竞技场升星包2,4:40001:1:0,100,14:0:500:0,-1,-1,-1
377,205,,4:40001:2:0,100,14:0:1000:0,-1,-1,-1
378,205,,4:40001:3:0,100,14:0:1500:0,-1,-1,-1
379,205,,4:40001:5:0,100,14:0:2500:0,-1,-1,-1
380,205,,4:40002:1:0,100,14:0:1000:0,-1,-1,-1
381,205,,4:40002:2:0,100,14:0:2000:0,-1,-1,-1
382,205,,4:40002:3:0,100,14:0:3000:0,-1,-1,-1
383,205,,4:40003:1:0,100,14:0:2000:0,-1,-1,-1
384,205,,4:40003:2:0,100,14:0:4000:0,-1,-1,-1
385,205,,4:40004:1:0,100,14:0:4000:0,-1,-1,-1
386,206,竞技场宝石包1,4:20001:1:0,100,14:0:100:0,-1,-1,-1
387,206,,4:20101:1:0,100,14:0:100:0,-1,-1,-1
388,206,,4:20201:1:0,100,14:0:100:0,-1,-1,-1
389,206,,4:20301:1:0,100,14:0:100:0,-1,-1,-1
390,206,,4:20401:1:0,100,14:0:100:0,-1,-1,-1
391,206,,4:20501:1:0,100,14:0:100:0,-1,-1,-1
392,206,,4:20601:1:0,100,14:0:100:0,-1,-1,-1
393,206,,4:20901:1:0,100,14:0:100:0,-1,-1,-1
394,206,,4:20002:1:0,100,14:0:300:0,-1,-1,-1
395,206,,4:20102:1:0,100,14:0:300:0,-1,-1,-1
396,206,,4:20202:1:0,100,14:0:300:0,-1,-1,-1
397,206,,4:20302:1:0,100,14:0:300:0,-1,-1,-1
398,206,,4:20402:1:0,100,14:0:300:0,-1,-1,-1
399,206,,4:20502:1:0,100,14:0:300:0,-1,-1,-1
400,206,,4:20602:1:0,100,14:0:300:0,-1,-1,-1
401,206,,4:20902:1:0,100,14:0:300:0,-1,-1,-1
402,207,竞技场宝石包2,4:20001:1:0,100,14:0:100:0,-1,-1,-1
403,207,,4:20101:1:0,100,14:0:100:0,-1,-1,-1
404,207,,4:20201:1:0,100,14:0:100:0,-1,-1,-1
405,207,,4:20301:1:0,100,14:0:100:0,-1,-1,-1
406,207,,4:20401:1:0,100,14:0:100:0,-1,-1,-1
407,207,,4:20501:1:0,100,14:0:100:0,-1,-1,-1
408,207,,4:20601:1:0,100,14:0:100:0,-1,-1,-1
409,207,,4:20901:1:0,100,14:0:100:0,-1,-1,-1
410,207,,4:20002:1:0,100,14:0:300:0,-1,-1,-1
411,207,,4:20102:1:0,100,14:0:300:0,-1,-1,-1
412,207,,4:20202:1:0,100,14:0:300:0,-1,-1,-1
413,207,,4:20302:1:0,100,14:0:300:0,-1,-1,-1
414,207,,4:20402:1:0,100,14:0:300:0,-1,-1,-1
