id,level,strengthen_type,cost,attr_add_a
388,87,5,131250,0.6
389,88,5,131840,0.6
390,89,5,132430,0.6
391,90,5,133020,0.6
392,91,5,133610,0.6
393,92,5,134200,0.6
394,93,5,134780,0.6
395,94,5,135370,0.6
396,95,5,135960,0.6
397,96,5,136550,0.6
398,97,5,137140,0.6
399,98,5,137730,0.6
400,99,5,184420,0.6
