id,name,description,dungeon_map,unlock_lv,is_boss,unlock_dungeon_id_pre1,unlock_dungeon_id_pre2,unlock_dungeon_id_next1,unlock_dungeon_id_next2,unlock_dungeon_id_next3,teams,each_loot_id,special_loot_id,show_first_loot_id,first_loot_id,each_loot_present,hero_present,rate_method,action_need,power_fix,combat,comat_fix,type,review_id,dungeon_show,tree_show,day_times,unlock_star,item_cost
10206,dungeon.name.2-6,dungeon.description.2-6,map_03,0,0,10205,0,10207,0,0,102061;102062,20110011;20210011;20310011;6000,,,20010011;20110011,7:0:60:0;5:0:120:0;4:10138:0:0;2:98:0:1,1&1;17&1;16&1,0,6,6.96,2460,1.96,1,1,sheet_dounge.dungeon_show.11,,-1,1:10;,-1
10207,dungeon.name.2-7,dungeon.description.2-7,map_03,6,2,10206,0,10301,60001,0,102071;102072,20110012;20210012;20310012;6000,,4:50342:0:0,20010012;20110012,7:0:60:0;5:0:120:0;4:50342:0:0;4:10138:0:0;2:98:0:1,17&1;16&1;103&1,0,6,7.17,3344,2.67,1,1,sheet_dounge.dungeon_show.12,,5,1:11;,-1
10301,dungeon.name.3-1,dungeon.description.3-1,map_02,0,0,10207,0,10302,0,0,103011;103012,20110013;20210013;20310013;6000,,,20010013;20110013,7:0:60:0;5:0:120:0;4:10138:0:0;2:98:0:1,66&1,0,6,7.71,2788,2.23,1,1,sheet_dounge.dungeon_show.13,,-1,1:12;,-1
10302,dungeon.name.3-2,dungeon.description.3-2,map_02,0,0,10301,0,10303,0,0,103021;103022,20110014;20210014;20310014;6000,,,20010014;20110014,7:0:60:0;5:0:125:0;4:10138:0:0;2:98:0:1,8&1;66&1,0,6,9.05,3256,2.6,1,1,sheet_dounge.dungeon_show.14,,-1,1:13;,-1
10303,dungeon.name.3-3,dungeon.description.3-3,map_02,0,0,10302,0,10304,0,0,103031;103032,20110015;20210015;20310015;6000,,,20010015;20110015,7:0:60:0;5:0:130:0;4:10138:0:0;2:98:0:1,8&1;31&1,0,6,10.45,3726,2.98,1,1,sheet_dounge.dungeon_show.15,,-1,1:14;,-1
10304,dungeon.name.3-4,dungeon.description.3-4,map_02,0,1,10303,0,10305,0,0,103041;103042,20110016;20210016;20310016;6000,,4:50313:0:0,20010016;20110016,7:0:60:0;5:0:135:0;4:50313:0:0;4:10138:0:0;2:98:0:1,8&1;13&1,0,6,12.39,5070,4.05,1,1,sheet_dounge.dungeon_show.16,,10,1:15;,-1
10305,dungeon.name.3-5,dungeon.description.3-5,map_02,0,0,10304,0,10306,0,0,103051;103052,20110017;20210017;20310017;6000,,,20010017;20110017,7:0:60:0;5:0:140:0;4:10138:0:0;2:98:0:1,8&1;31&1;11&1,0,6,13.63,6150,4.92,1,1,sheet_dounge.dungeon_show.17,,-1,1:16;,-1
10306,dungeon.name.3-6,dungeon.description.3-6,map_02,9,0,10305,0,10307,0,0,103061;103062,20110018;20210018;20310018;6000,,,20010018;20110018,7:0:60:0;5:0:145:0;4:10138:0:0;2:98:0:1,31&1;8&1;12&1;11&1;10&1,0,6,15.44,6938,5.55,1,1,sheet_dounge.dungeon_show.18,,-1,1:17;,-1
10307,dungeon.name.3-7,dungeon.description.3-7,map_02,0,0,10306,0,10308,0,0,103071;103072,20110019;20210019;20310019;6000,,,20010019;20110019,7:0:60:0;5:0:150:0;4:10138:0:0;2:98:0:1,66&1;13&1,0,6,16.73,7484,5.98,1,1,sheet_dounge.dungeon_show.19,,-1,1:18;,-1
10308,dungeon.name.3-8,dungeon.description.3-8,map_02,0,2,10307,0,10401,0,0,103081;103082,20110020;20210020;20310020;6000,,4:50102:0:0,20010020;20110020,7:0:60:0;5:0:155:0;4:50102:0:0;4:10138:0:0;2:98:0:1,13&1;11&1,0,6,18.68,8333,6.66,1,1,sheet_dounge.dungeon_show.20,,5,1:19;,-1
10401,dungeon.name.4-1,dungeon.description.4-1,map_01,0,0,10308,0,10402,0,0,104011;104012,20110021;20210021;20310021;6000,,,20010021;20110021,7:0:60:0;5:0:160:0;4:10138:0:0;2:98:0:1,12&1;66&1;11&1,0,6,22.38,7563,6.05,1,1,sheet_dounge.dungeon_show.21,,-1,1:20;,-1
10402,dungeon.name.4-2,dungeon.description.4-2,map_01,0,0,10401,0,10403,0,0,104021;104022,20110022;20210022;20310022;6000,,,20010022;20110022,7:0:60:0;5:0:165:0;4:10138:0:0;2:98:0:1,12&1;13&1;11&1,0,6,24.64,9618,7.69,1,1,sheet_dounge.dungeon_show.22,,-1,1:21;,-1
10403,dungeon.name.4-3,dungeon.description.4-3,map_01,0,1,10402,0,10404,0,0,104031;104032,20110023;20210023;20310023;6000,,2:15:0:1,20010023;20110023,7:0:60:0;5:0:170:0;2:15:0:1;4:10138:0:0;2:98:0:1,11&1;13&1;12&1,0,6,26.18,11413,9.13,1,1,sheet_dounge.dungeon_show.23,,10,1:22;,-1
10404,dungeon.name.4-4,dungeon.description.4-4,map_01,0,0,10403,0,10405,0,0,104041;104042,20110024;20210024;20310024;6000,,,20010024;20110024,7:0:60:0;5:0:175:0;4:10138:0:0;2:98:0:1,11&1;13&1;12&1;14&1,0,6,28.58,12437,9.94,1,1,sheet_dounge.dungeon_show.24,,-1,1:23;,-1
10405,dungeon.name.4-5,dungeon.description.4-5,map_01,0,0,10404,0,10406,0,0,104051;104052,20110025;20210025;20310025;6000,,,20010025;20110025,7:0:60:0;5:0:180:0;4:10138:0:0;2:98:0:1,63&1,0,6,31.26,13584,10.86,1,1,sheet_dounge.dungeon_show.25,,-1,1:24;,-1
10406,dungeon.name.4-6,dungeon.description.4-6,map_01,20,1,10405,0,10407,0,0,104061;104062,20110026;20210026;20310026;6000,,4:50162:0:0,20010026;20110026,7:0:60:0;5:0:180:0;4:50162:0:0;4:10138:0:0;2:98:0:1,9&1;63&1,0,6,32.19,13994,11.19,1,1,sheet_dounge.dungeon_show.26,,10,1:25;,-1
10407,dungeon.name.4-7,dungeon.description.4-7,map_01,0,0,10406,0,10408,0,0,104071;104072,20110027;20210027;20310027;6000,,,20010027;20110027,7:0:60:0;5:0:185:0;4:10138:0:0;2:98:0:1,9&1;59&1;15&1,0,6,36.37,15798,12.63,1,1,sheet_dounge.dungeon_show.27,,-1,1:26;,-1
10408,dungeon.name.4-8,dungeon.description.4-8,map_01,0,0,10407,0,10409,0,0,104081;104082,20110028;20210028;20310028;6000,,,20010028;20110028,7:0:60:0;5:0:190:0;4:10138:0:0;2:98:0:1,59&1;63&1,0,6,39.7,17217,13.77,1,1,sheet_dounge.dungeon_show.28,,-1,1:27;,-1
10409,dungeon.name.4-9,dungeon.description.4-9,map_01,0,2,10408,0,10501,0,0,104091;104092,20110029;20210029;20310029;6000,,4:50172:0:0,20010029;20110029,7:0:60:0;5:0:195:0;4:50172:0:0;4:10138:0:0;2:98:0:1,59&1;61&1;9&1,0,6,42.85,20379,16.3,1,1,sheet_dounge.dungeon_show.29,,5,1:28;,-1
10501,dungeon.name.5-1,dungeon.description.5-1,map_06,25,0,10409,0,10502,0,0,105011;105012,20110030;20210030;20310030;6000,,,20010030;20110030,7:0:60:0;5:0:200:0;4:10138:0:0;2:98:0:1,59&1;9&1;60&1,0,6,46.12,19716,15.77,1,1,sheet_dounge.dungeon_show.30,,-1,1:29;,-1
10502,dungeon.name.5-2,dungeon.description.5-2,map_06,0,0,10501,0,10503,0,0,105021;105022,20110031;20210031;20310031;6000,,,20010031;20110031,7:0:60:0;5:0:205:0;4:10138:0:0;2:98:0:1,9&1;59&1,0,6,53.8,23162,18.52,1,1,sheet_dounge.dungeon_show.31,,-1,1:30;,-1
10503,dungeon.name.5-3,dungeon.description.5-3,map_06,0,1,10502,0,10504,0,0,105031;105032,20110032;20210032;20310032;6000,,2:20:0:1,20010032;20110032,7:0:60:0;5:0:210:0;2:20:0:1;4:10138:0:0;2:98:0:1,9&1;63&1,0,6,56.06,24333,19.46,1,1,sheet_dounge.dungeon_show.32,,10,1:31;,-1
10504,dungeon.name.5-4,dungeon.description.5-4,map_06,0,0,10503,0,10505,0,0,105041;105042,20110033;20210033;20310033;6000,,,20010033;20110033,7:0:60:0;5:0:215:0;4:10138:0:0;2:98:0:1,59&1;9&1,0,6,59.33,25706,20.56,1,1,sheet_dounge.dungeon_show.33,,-1,1:32;,-1
10505,dungeon.name.5-5,dungeon.description.5-5,map_06,0,0,10504,0,10506,0,0,105051;105052,20110034;20210034;20310034;6000,,,20010034;20110034,7:0:60:0;5:0:220:0;4:10138:0:0;2:98:0:1,63&1;61&1;9&1,0,6,62.15,26893,21.51,1,1,sheet_dounge.dungeon_show.34,,-1,1:33;,-1
10506,dungeon.name.5-6,dungeon.description.5-6,map_06,0,1,10505,0,10507,0,0,105061;105062,20110035;20210035;20310035;6000,,4:50242:0:0,20010035;20110035,7:0:60:0;5:0:220:0;4:50242:0:0;4:10138:0:0;2:98:0:1,60&1;9&1;61&1;59&1,0,6,62.15,26893,21.51,1,1,sheet_dounge.dungeon_show.35,,10,1:34;,-1
10507,dungeon.name.5-7,dungeon.description.5-7,map_06,0,0,10506,0,10508,0,0,105071;105072,20110036;20210036;20310036;6000,,,20010036;20110036,7:0:60:0;5:0:225:0;4:10138:0:0;2:98:0:1,61&1;9&1;59&1;42&1,0,6,64.47,27858,22.28,1,1,sheet_dounge.dungeon_show.36,,-1,1:35;,-1
10508,dungeon.name.5-8,dungeon.description.5-8,map_06,0,0,10507,0,10509,0,0,105081;105082,20110037;20210037;20310037;6000,,,20010037;20110037,7:0:60:0;5:0:230:0;4:10138:0:0;2:98:0:1,29&1,0,6,71.85,31005,24.8,1,1,sheet_dounge.dungeon_show.37,,-1,1:36;,-1
10509,dungeon.name.5-9,dungeon.description.5-9,map_06,0,0,10508,0,10510,0,0,105091;105092,20110038;20210038;20310038;6000,,,20010038;20110038,7:0:60:0;5:0:230:0;4:10138:0:0;2:98:0:1,29&1;37&1,0,6,71.85,31005,24.8,1,1,sheet_dounge.dungeon_show.38,,-1,1:37;,-1
10510,dungeon.name.5-10,dungeon.description.5-10,map_06,0,2,10509,0,10601,0,0,105101;105102,20110039;20210039;20310039;6000,,4:50432:0:0,20010039;20110039,7:0:60:0;5:0:235:0;4:50432:0:0;4:10138:0:0;2:98:0:1,37&1;36&1,0,6,74.34,35186,28.14,1,1,sheet_dounge.dungeon_show.39,,5,1:38;,-1
10601,dungeon.name.6-1,dungeon.description.6-1,map_04,35,0,10510,0,10602,0,0,106011;106012,20110040;20210040;20310040;6000,,,20010040;20110040,7:0:60:0;5:0:240:0;4:10138:0:0;2:98:0:1,36&1;37&1,0,6,77.53,32990,26.39,1,1,sheet_dounge.dungeon_show.40,,-1,1:39;,-1
10602,dungeon.name.6-2,dungeon.description.6-2,map_04,0,0,10601,0,10603,0,0,106021;106022,20110041;20210041;20310041;6000,,,20010041;20110041,7:0:60:0;5:0:245:0;4:10138:0:0;2:98:0:1,36&1;37&1,0,6,80.09,34308,27.44,1,1,sheet_dounge.dungeon_show.41,,-1,1:40;,-1
10603,dungeon.name.6-3,dungeon.description.6-3,map_04,0,1,10602,0,10604,0,0,106031;106032,20110042;20210042;20310042;6000,,4:50362:0:0,20010042;20110042,7:0:60:0;5:0:250:0;4:50362:0:0;4:10138:0:0;2:98:0:1,36&1;37&1;32&1,0,6,82.61,35699,28.55,1,1,sheet_dounge.dungeon_show.42,,10,1:41;,-1
10604,dungeon.name.6-4,dungeon.description.6-4,map_04,0,0,10603,0,10605,0,0,106041;106042,20110043;20210043;20310043;6000,,,20010043;20110043,7:0:60:0;5:0:255:0;4:10138:0:0;2:98:0:1,33&1,0,6,93.03,44044,35.23,1,1,sheet_dounge.dungeon_show.43,,-1,1:42;,-1
10605,dungeon.name.6-5,dungeon.description.6-5,map_04,0,0,10604,0,10606,0,0,106051;106052,20110044;20210044;20310044;6000,,,20010044;20110044,7:0:60:0;5:0:260:0;4:10138:0:0;2:98:0:1,37&1;33&1,0,6,95.79,45304,36.24,1,1,sheet_dounge.dungeon_show.44,,-1,1:43;,-1
10606,dungeon.name.6-6,dungeon.description.6-6,map_04,0,1,10605,0,10607,0,0,106061;106062,20110045;20210045;20310045;6000,,4:51363:0:0,20010045;20110045,7:0:60:0;5:0:265:0;4:51363:0:0;4:10138:0:0;2:98:0:1,33&1;29&1;36&1,0,6,98.54,46564,37.25,1,1,sheet_dounge.dungeon_show.45,,10,1:44;,-1
10607,dungeon.name.6-7,dungeon.description.6-7,map_04,0,0,10606,0,10608,0,0,106071;106072,20110046;20210046;20310046;6000,,,20010046;20110046,7:0:60:0;5:0:270:0;4:10138:0:0;2:98:0:1,29&1;36&1;33&1,0,6,102.13,48217,38.57,1,1,sheet_dounge.dungeon_show.46,,-1,1:45;,-1
10608,dungeon.name.6-8,dungeon.description.6-8,map_04,0,0,10607,0,10609,0,0,106081;106082,20110047;20210047;20310047;6000,,,20010047;20110047,7:0:60:0;5:0:270:0;4:10138:0:0;2:98:0:1,36&1;37&1,0,6,106.75,50392,40.31,1,1,sheet_dounge.dungeon_show.47,,-1,1:46;,-1
10609,dungeon.name.6-9,dungeon.description.6-9,map_04,0,0,10608,0,10610,0,0,106091;106092,20110048;20210048;20310048;6000,,,20010048;20110048,7:0:60:0;5:0:275:0;4:10138:0:0;2:98:0:1,36&1;33&1;37&1;29&1;109&1,0,6,109.66,51722,41.37,1,1,sheet_dounge.dungeon_show.48,,-1,1:47;,-1
10610,dungeon.name.6-10,dungeon.description.6-10,map_04,0,2,10609,0,10701,0,0,106101;106102,20110049;20210049;20310049;6000,,4:50132:0:0,20010049;20110049,7:0:60:0;5:0:280:0;4:50132:0:0;4:10138:0:0;2:98:0:1,34&1,0,6,115.24,54719,43.77,1,1,sheet_dounge.dungeon_show.49,,5,1:48;,-1
10701,dungeon.name.7-1,dungeon.description.7-1,map_02,40,0,10610,0,10702,0,0,107011;107012,20110050;20210050;20310050;6000,,,20010050;20110050,7:0:60:0;5:0:280:0;4:10138:0:0;2:98:0:1,34&1;24&1,0,6,115.24,53647,42.91,1,1,sheet_dounge.dungeon_show.50,,-1,1:49;,-1
10702,dungeon.name.7-2,dungeon.description.7-2,map_02,0,0,10701,0,10703,0,0,107021;107022,20110051;20210051;20310051;6000,,,20010051;20110051,7:0:60:0;5:0:285:0;4:10138:0:0;2:98:0:1,30&1;34&1;24&1,0,6,118.22,55116,44.09,1,1,sheet_dounge.dungeon_show.51,,-1,1:50;,-1
10703,dungeon.name.7-3,dungeon.description.7-3,map_02,0,1,10702,0,10704,0,0,107031;107032,20110052;20210052;20310052;6000,,4:50332:0:0,20010052;20110052,7:0:60:0;5:0:285:0;4:50332:0:0;4:10138:0:0;2:98:0:1,30&1;24&1,0,6,119.23,56139,44.91,1,1,sheet_dounge.dungeon_show.52,,10,1:51;,-1
10704,dungeon.name.7-4,dungeon.description.7-4,map_02,0,0,10703,0,10705,0,0,107041;107042,20110053;20210053;20310053;6000,,,20010053;20110053,7:0:60:0;5:0:285:0;4:10138:0:0;2:98:0:1,34&1;24&1;30&1,0,6,119.23,56139,44.91,1,1,sheet_dounge.dungeon_show.53,,-1,1:52;,-1
10705,dungeon.name.7-5,dungeon.description.7-5,map_02,0,0,10704,0,10706,0,0,107051;107052,20110054;20210054;20310054;6000,,,20010054;20110054,7:0:60:0;5:0:290:0;4:10138:0:0;2:98:0:1,24&1;34&1;30&1;18&1,0,6,122.23,57513,46.01,1,1,sheet_dounge.dungeon_show.54,,-1,1:53;,-1
10706,dungeon.name.7-6,dungeon.description.7-6,map_02,0,0,10705,0,10707,0,0,107061;107062,20110055;20210055;20310055;6000,,,20010055;20110055,7:0:60:0;5:0:290:0;4:10138:0:0;2:98:0:1,34&1;43&1,0,6,124.05,58618,46.89,1,1,sheet_dounge.dungeon_show.55,,-1,1:54;,-1
10707,dungeon.name.7-7,dungeon.description.7-7,map_02,0,1,10706,0,10708,0,0,107071;107072,20110056;20210056;20310056;6000,,4:50302:0:0,20010056;20110056,7:0:60:0;5:0:290:0;4:50302:0:0;4:10138:0:0;2:98:0:1,34&1;23&1,0,6,124.05,58618,46.89,1,1,sheet_dounge.dungeon_show.56,,10,1:55;,-1
10708,dungeon.name.7-8,dungeon.description.7-8,map_02,0,0,10707,0,10709,0,0,107081;107082,20110057;20210057;20310057;6000,,,20010057;20110057,7:0:60:0;5:0:295:0;4:10138:0:0;2:98:0:1,23&1;34&1;30&1,0,6,127.1,60012,48,1,1,sheet_dounge.dungeon_show.57,,-1,1:56;,-1
10709,dungeon.name.7-9,dungeon.description.7-9,map_02,0,0,10708,0,10710,0,0,107091;107092,20110058;20210058;20310058;6000,,,20010058;20110058,7:0:60:0;5:0:295:0;4:10138:0:0;2:98:0:1,30&1;20&1,0,6,127.1,60012,48,1,1,sheet_dounge.dungeon_show.58,,-1,1:57;,-1
10710,dungeon.name.7-10,dungeon.description.7-10,map_02,0,0,10709,0,10711,0,0,107101;107102,20110059;20210059;20310059;6000,,,20010059;20110059,7:0:60:0;5:0:295:0;4:10138:0:0;2:98:0:1,30&1;20&1;24&1,0,6,127.1,60012,48,1,1,sheet_dounge.dungeon_show.59,,-1,1:58;,-1
10711,dungeon.name.7-11,dungeon.description.7-11,map_02,0,2,10710,0,10801,0,0,107111;107112,20110060;20210060;20310060;6000,,4:50292:0:0,20010060;20110060,7:0:60:0;5:0:300:0;4:50292:0:0;4:10138:0:0;2:98:0:1,24&1;30&1;20&1;120&1,0,6,130.14,61875,49.5,1,1,sheet_dounge.dungeon_show.60,,5,1:59;,-1
10801,dungeon.name.8-1,dungeon.description.8-1,map_01,45,0,10711,0,10802,0,0,108011;108012,20110061;20210061;20310061;6000,,,20010061;20110061,7:0:60:0;5:0:305:0;4:10138:0:0;2:98:0:1,1&1;1&1,0,6,133.19,62040,49.63,1,1,sheet_dounge.dungeon_show.61,,-1,1:60;,-1
10802,dungeon.name.8-2,dungeon.description.8-2,map_01,0,0,10801,0,10803,0,0,108021;108022,20110062;20210062;20310062;6000,,,20010062;20110062,7:0:60:0;5:0:305:0;4:10138:0:0;2:98:0:1,1&1;3&1,0,6,133.19,62180,49.74,1,1,sheet_dounge.dungeon_show.62,,-1,1:61;,-1
10803,dungeon.name.8-3,dungeon.description.8-3,map_01,0,0,10802,0,10804,0,0,108031;108032,20110063;20210063;20310063;6000,,,20010063;20110063,7:0:60:0;5:0:310:0;4:10138:0:0;2:98:0:1,69&1;5&1,0,6,136.23,64194,51.35,1,1,sheet_dounge.dungeon_show.63,,-1,1:62;,-1
10804,dungeon.name.8-4,dungeon.description.8-4,map_01,0,1,10803,0,10805,0,0,108041;108042,20110064;20210064;20310064;6000,,2:1:0:1,20010064;20110064,7:0:60:0;5:0:310:0;2:1:0:1;4:10138:0:0;2:98:0:1,5&1;69&1;4&1,0,6,136.23,64194,51.35,1,1,sheet_dounge.dungeon_show.64,,10,1:63;,-1
10805,dungeon.name.8-5,dungeon.description.8-5,map_01,0,0,10804,0,10806,0,0,108051;108052,20110065;20210065;20310065;6000,,,20010065;20110065,7:0:60:0;5:0:310:0;4:10138:0:0;2:98:0:1,1&1;5&1;69&1,0,6,136.23,64194,51.35,1,1,sheet_dounge.dungeon_show.65,,-1,1:64;,-1
10806,dungeon.name.8-6,dungeon.description.8-6,map_01,0,0,10805,0,10807,0,0,108061;108062,20110066;20210066;20310066;6000,,,20010066;20110066,7:0:60:0;5:0:315:0;4:10138:0:0;2:98:0:1,1&1;3&1,0,6,139.28,65588,52.47,1,1,sheet_dounge.dungeon_show.66,,-1,1:65;,-1
10807,dungeon.name.8-7,dungeon.description.8-7,map_01,0,0,10806,0,10808,0,0,108071;108072,20110067;20210067;20310067;6000,,,20010067;20110067,7:0:60:0;5:0:315:0;4:10138:0:0;2:98:0:1,1&1;63&1,0,6,139.28,65588,52.47,1,1,sheet_dounge.dungeon_show.67,,-1,1:66;,-1
10808,dungeon.name.8-8,dungeon.description.8-8,map_01,0,1,10807,0,10809,0,0,108081;108082,20110068;20210068;20310068;6000,,4:50162:0:0,20010068;20110068,7:0:60:0;5:0:315:0;4:50162:0:0;4:10138:0:0;2:98:0:1,63&1;1&1,0,6,139.28,65588,52.47,1,1,sheet_dounge.dungeon_show.68,,10,1:67;,-1
10809,dungeon.name.8-9,dungeon.description.8-9,map_01,0,0,10808,0,10810,0,0,108091;108092,20110069;20210069;20310069;6000,,,20010069;20110069,7:0:60:0;5:0:320:0;4:10138:0:0;2:98:0:1,16&1;1&1,0,6,142.32,66981,53.58,1,1,sheet_dounge.dungeon_show.69,,-1,1:68;,-1
10810,dungeon.name.8-10,dungeon.description.8-10,map_01,0,0,10809,0,10811,0,0,108101;108102,20110070;20210070;20310070;6000,,,20010070;20110070,7:0:60:0;5:0:320:0;4:10138:0:0;2:98:0:1,17&1;1&1,0,6,142.32,66981,53.58,1,1,sheet_dounge.dungeon_show.70,,-1,1:69;,-1
10811,dungeon.name.8-11,dungeon.description.8-11,map_01,0,0,10810,0,10812,0,0,108111;108112,20110071;20210071;20310071;6000,,,20010071;20110071,7:0:60:0;5:0:320:0;4:10138:0:0;2:98:0:1,1&1;17&1;16&1,0,6,142.32,66981,53.58,1,1,sheet_dounge.dungeon_show.71,,-1,1:70;,-1
10812,dungeon.name.8-12,dungeon.description.8-12,map_01,0,2,10811,0,10901,0,0,108121;108122,20110072;20210072;20310072;6000,,4:50172:0:0,20010072;20110072,7:0:60:0;5:0:325:0;4:50172:0:0;4:10138:0:0;2:98:0:1,17&1;16&1;103&1,0,6,145.37,68898,55.11,1,1,sheet_dounge.dungeon_show.72,,5,1:71;,-1
10901,dungeon.name.9-1,dungeon.description.9-1,map_06,50,0,10812,0,10902,0,0,109011;109012,20110073;20210073;20310073;6000,,,20010073;20110073,7:0:60:0;5:0:330:0;4:10138:0:0;2:98:0:1,66&1,0,6,148.41,68925,55.14,1,1,sheet_dounge.dungeon_show.73,,-1,1:72;,-1
10902,dungeon.name.9-2,dungeon.description.9-2,map_06,0,0,10901,0,10903,0,0,109021;109022,20110074;20210074;20310074;6000,,,20010074;20110074,7:0:60:0;5:0:330:0;4:10138:0:0;2:98:0:1,8&1;66&1,0,6,148.41,69080,55.26,1,1,sheet_dounge.dungeon_show.74,,-1,1:73;,-1
10903,dungeon.name.9-3,dungeon.description.9-3,map_06,0,0,10902,0,10904,0,0,109031;109032,20110075;20210075;20310075;6000,,,20010075;20110075,7:0:60:0;5:0:335:0;4:10138:0:0;2:98:0:1,8&1;31&1,0,6,151.46,71162,56.92,1,1,sheet_dounge.dungeon_show.75,,-1,1:74;,-1
10904,dungeon.name.9-4,dungeon.description.9-4,map_06,0,1,10903,0,10905,0,0,109041;109042,20110076;20210076;20310076;6000,,2:69:0:1,20010076;20110076,7:0:60:0;5:0:335:0;2:69:0:1;4:10138:0:0;2:98:0:1,8&1;13&1,0,6,151.46,71162,56.92,1,1,sheet_dounge.dungeon_show.76,,10,1:75;,-1
10905,dungeon.name.9-5,dungeon.description.9-5,map_06,0,0,10904,0,10906,0,0,109051;109052,20110077;20210077;20310077;6000,,,20010077;20110077,7:0:60:0;5:0:335:0;4:10138:0:0;2:98:0:1,8&1;31&1;11&1,0,6,151.46,71162,56.92,1,1,sheet_dounge.dungeon_show.77,,-1,1:76;,-1
10906,dungeon.name.9-6,dungeon.description.9-6,map_06,0,0,10905,0,10907,0,0,109061;109062,20110078;20210078;20310078;6000,,,20010078;20110078,7:0:60:0;5:0:340:0;4:10138:0:0;2:98:0:1,31&1;8&1;12&1;11&1;10&1,0,6,154.5,72556,58.04,1,1,sheet_dounge.dungeon_show.78,,-1,1:77;,-1
10907,dungeon.name.9-7,dungeon.description.9-7,map_06,0,0,10906,0,10908,0,0,109071;109072,20110079;20210079;20310079;6000,,,20010079;20110079,7:0:60:0;5:0:340:0;4:10138:0:0;2:98:0:1,66&1;13&1,0,6,154.5,72556,58.04,1,1,sheet_dounge.dungeon_show.79,,-1,1:78;,-1
