#==================== 通用字符串 ====================#
ui.turntable_view.oneDrawCostTip = 单次抽奖花费：<color=#03B0F0>%d钻石</color>
ui.turntable_view.discountTip = 今日已转%d次，第%d次开始%d折优惠
ui.turntable_view.discountTip2 = 今日已转%d次
ui.turntable_view.tenDrawTip = 10次连转
ui.turntable_view.startDraw = 开始\n抽奖
ui.turntable_view.ruleTitle = 转盘规则
ui.turntable_view.des = 1.转盘活动每日免费1次，免费次数不可累计\n2.转盘多次后花费价格会打折\n3.排名第1名，2-3名，4-10名，11-20名，21-50名可以获得额外奖励，次日邮件发送\n4转盘次数相同者，按照时间先后在排行榜上进行排名
#==================== 转盘界面 ====================#
#==================== 活动界面 ====================#

######公用部分
event_public_forever = 永久
event_public_time = 活动时间
event_public_describe = 活动描述
event_public_details = 活动详情
event_public_get = 领取成功
event_public_buyed = 购买成功
event_public_OverTime1 = 活动已经过期!
event_public_OverTime2 = 已过期

event_public_btn1 = 领取
event_public_btn2 = 已领取
event_public_btn3 = 不可领取

event_public_award = <color=#ca65f3>恭喜你获得以下物品</color>
event_public_lvlimit = 等级不够

######累计充值
event_1001_btn1 = 充值
event_1001_btn2 = 领取
event_1001_btn3 = 已领取
event_1001_value = %d/%d
event_1001_TextName = 累计充值

######累计消费（条件未满足按钮不显示）
event_1002_btn1 = 领取
event_1002_btn2 = 已领取
event_1002_value = %d/%d
event_1002_TextName = 累计消费

######首充礼包
event_1003_btn1 = 前往充值
event_1003_btn2 = 领取奖励
event_1003_btn3 = 已经领取
event_1003_HeroDes = 英雄描述

######连续登录（条件未满足按钮不显示）
event_1004_btn1 = 领取
event_1004_btn2 = 已领取
event_1004_days = 连续登录<color=#FF8A00>%d/%d</color>天

######每日登录（非当天不显示按钮）
event_1005_btn1 = 领取
event_1005_btn2 = 已领取
event_1005_days = %d年%d月%d日


######金猪送礼（非当天领取按钮不显示）
event_1006_small_title1 = 铜猪
event_1006_small_title2 = 银猪
event_1006_small_title3 = 金猪
event_1006_small_title11 = 铜猪返利
event_1006_small_title21 = 银猪返利
event_1006_small_title31 = 金猪返利
event_1006_buy_btn1 = 购买
event_1006_buy_btn2 = 已购买
event_1006_buy_btn3 = 已购买其他
event_1006_Days = 第<size=40><color=#FF8A00>%d</color></size>天
event_1006_btn1 = 领取
event_1006_btn2 = 已领取

######VIP福利
event_1007_title = VIP%d每日可领福利
event_1007_btn1 = 领取
event_1007_btn2 = 已领取
event_1007_buy_btn1 = 购买
event_1007_buy_btn2 = 已购买
event_1007_buy_btn3 = 不可购买
event_already_get = 已经领取过奖励

######冲级送豪礼（条件未达到时不显示按钮）
event_1008_btn1 = 领取
event_1008_btn2 = 已领取
event_1008_btn3 = 不可领取
event_1008_LevelValue = 主角等级达到 <color=#FF8A00>%d/%d</color>

######限时兑换
event_1009_btn = 前往兑换


######体力赠送
event_1010_btn = 领取
event_1010_getalready = <color=#66FF78>已领取</color>
event_1010_getnotallow = <color=#FF1818>不可领取</color>
event_1010_getoverdate = <color=#FF1818>超时不可领取</color>

######基金等级礼包
event_1011_foundlevelValue = 账号等级达到 <color=#FF8A00>%d</color> 级
event_1011_generalWelfareTitle= 和大家一起购买基金，全服玩家越多，奖励越丰富！\n已有 <color=#66FF78>%d</color> 人购买
event_1011_generalWelfareValue =  购买人数达到 <color=#FF8A00>%d</color> 人
event_1011_VIPValue = VIP%d可购买
event_1011_VIPBtn1 = 去充值
event_1011_VIPBtn2 = 购买基金
event_1011_VIPBtn3 = 已经购买

######七日狂欢
event_1012_yuanjia = 原价%d
event_1012_xianjia = 现价%d
event_1012_boxTip  = 完成任务%d个
event_1012_boxReward = 完成任务%d个


event_name_1001 = 累计充值
event_name_1002 = 累计消费
event_name_1003 = 首充礼包
event_name_1004 = 连续登陆
event_name_1005 = 每日登陆
event_name_1006 = 金猪送大礼
event_name_1007 = VIP福利
event_name_1008 = 冲级送豪礼
event_name_1009 = 端午兑换
event_name_1010 = 行动力放送
event_name_1011 = 封测活动
event_name_1014 = 基金等级礼包
event_name_1015 = 全民福利
event_name_1016 = 七日狂欢


event_name_11001 = 每日首充





event_des_1001 = 活动时间内玩家累计充值达到一定的金额即可获对应的奖励。
event_des_1002 = 活动时间内玩家累计消费达到一定的金额即可获对应的奖励。
event_des_1003 = 首次充值任意金额玩家即可获得丰厚奖品。
event_des_1004 = 活动期间内连续登入可领取对应的奖励。
event_des_1005 = 活动期间内每日登入可领取对应的奖励。
event_des_1006 = 选择购买你所需要的产品后即可每日领取对应的奖励，如不领取则视为放弃。
event_des_1007 = 根据VIP等级可购买对应的VIP礼包，每种礼包限购一次。
event_des_1008 = 玩家达到对应的等级即可获得丰厚的奖励。
event_des_1009 = 挑战端午BOSS即可获得粽子兑换各种丰厚的道具。
event_des_1010 = 每日活动时间内可领取大量的行动力。

event_des_1014 = 2000钻石购买基金，总计返还5000钻石（达到等级要求）
event_des_1015 = 和大家一起购买基金！全服玩家买的人数越多！奖励越丰厚！已有{0}人购买基金！


event_des_11001 = 活动时间内玩家每日充值即可获对应的奖励。



event_des_small_1101 = 累计充值
event_des_small_1201 = 累计消费

event_des_small_1501 = 第 <color=#FF8A00>1</color> 天
event_des_small_1502 = 第 <color=#FF8A00>2</color> 天
event_des_small_1503 = 第 <color=#FF8A00>3</color> 天
event_des_small_1504 = 第 <color=#FF8A00>4</color> 天
event_des_small_1505 = 第 <color=#FF8A00>5</color> 天
event_des_small_1506 = 第 <color=#FF8A00>6</color> 天
event_des_small_1507 = 第 <color=#FF8A00>7</color> 天

event_des_small_1301 = 无
event_des_small_1401 = 连续登录 <color=#FF8A00>1</color> 天
event_des_small_1402 = 连续登录 <color=#FF8A00>2</color> 天
event_des_small_1403 = 连续登录 <color=#FF8A00>3</color> 天
event_des_small_1404 = 连续登录 <color=#FF8A00>4</color> 天
event_des_small_1405 = 连续登录 <color=#FF8A00>5</color> 天
event_des_small_1406 = 连续登录 <color=#FF8A00>6</color> 天
event_des_small_1407 = 连续登录 <color=#FF8A00>7</color> 天

event_des_small_1501 = 第 <color=#FF8A00>1</color> 天
event_des_small_1502 = 第 <color=#FF8A00>2</color> 天
event_des_small_1503 = 第 <color=#FF8A00>3</color> 天
event_des_small_1504 = 第 <color=#FF8A00>4</color> 天
event_des_small_1505 = 第 <color=#FF8A00>5</color> 天
event_des_small_1506 = 第 <color=#FF8A00>6</color> 天
event_des_small_1507 = 第 <color=#FF8A00>7</color> 天

event_des_small_1601 = 第 <color=#FF8A00>1</color> 天
event_des_small_1602 = 第 <color=#FF8A00>2</color> 天
event_des_small_1603 = 第 <color=#FF8A00>3</color> 天
event_des_small_1604 = 第 <color=#FF8A00>4</color> 天
event_des_small_1605 = 第 <color=#FF8A00>5</color> 天
event_des_small_1606 = 第 <color=#FF8A00>6</color> 天
event_des_small_1607 = 第 <color=#FF8A00>7</color> 天


event_des_small_1701 = 达到VIP1
event_des_small_1702 = 达到VIP2
event_des_small_1703 = 达到VIP3
event_des_small_1704 = 达到VIP4
event_des_small_1705 = 达到VIP5
event_des_small_1706 = 达到VIP6
event_des_small_1707 = 达到VIP7
event_des_small_1708 = 达到VIP8
event_des_small_1709 = 达到VIP9
event_des_small_1710 = 达到VIP10
event_des_small_1711 = 达到VIP11
event_des_small_1712 = 达到VIP12
event_des_small_1713 = 达到VIP13
event_des_small_1714 = 达到VIP14
event_des_small_1715 = 达到VIP15

event_des_small_1801 = 等级达到 <color=#FF8A00>3</color>
event_des_small_1802 = 等级达到 <color=#FF8A00>6</color>
event_des_small_1803 = 等级达到 <color=#FF8A00>10</color>
event_des_small_1804 = 等级达到 <color=#FF8A00>13</color>
event_des_small_1805 = 等级达到 <color=#FF8A00>15</color>
event_des_small_1806 = 等级达到 <color=#FF8A00>17</color>
event_des_small_1807 = 等级达到 <color=#FF8A00>20</color>
event_des_small_1808 = 等级达到 <color=#FF8A00>25</color>
event_des_small_1809 = 等级达到 <color=#FF8A00>30</color>
event_des_small_1810 = 等级达到 <color=#FF8A00>35</color>
event_des_small_1811 = 等级达到 <color=#FF8A00>40</color>
event_des_small_1812 = 等级达到 <color=#FF8A00>45</color>
event_des_small_1813 = 等级达到 <color=#FF8A00>50</color>
event_des_small_1814 = 等级达到 <color=#FF8A00>55</color>
event_des_small_1815 = 等级达到 <color=#FF8A00>60</color>
event_des_small_1816 = 等级达到 <color=#FF8A00>65</color>
event_des_small_1817 = 等级达到 <color=#FF8A00>70</color>
event_des_small_1818 = 等级达到 <color=#FF8A00>75</color>
event_des_small_1819 = 等级达到 <color=#FF8A00>80</color>

event_des_small_1901 = 无
event_des_small_2001 = 无
event_des_small_2002 = 无
event_des_small_2003 = 无




event_des_small_11401 = 等级达到 <color=#FF8A00>10</color>
event_des_small_11402 = 等级达到 <color=#FF8A00>15</color>
event_des_small_11403 = 等级达到 <color=#FF8A00>20</color>
event_des_small_11404 = 等级达到 <color=#FF8A00>25</color>
event_des_small_11405 = 等级达到 <color=#FF8A00>30</color>
event_des_small_11406 = 等级达到 <color=#FF8A00>35</color>
event_des_small_11407 = 等级达到 <color=#FF8A00>40</color>
event_des_small_11408 = 等级达到 <color=#FF8A00>45</color>
event_des_small_11409 = 等级达到 <color=#FF8A00>50</color>
event_des_small_11410 = 等级达到 <color=#FF8A00>55</color>
event_des_small_11411 = 等级达到 <color=#FF8A00>60</color>


event_des_small_11501 = 购买人数达到 <color=#FF8A00>100</color>
event_des_small_11502 = 购买人数达到 <color=#FF8A00>200</color>
event_des_small_11503 = 购买人数达到 <color=#FF8A00>300</color>
event_des_small_11504 = 购买人数达到 <color=#FF8A00>400</color>
event_des_small_11505 = 购买人数达到 <color=#FF8A00>500</color>
event_des_small_11506 = 购买人数达到 <color=#FF8A00>600</color>
event_des_small_11507 = 购买人数达到 <color=#FF8A00>700</color>
event_des_small_11508 = 购买人数达到 <color=#FF8A00>800</color>
event_des_small_11509 = 购买人数达到 <color=#FF8A00>900</color>
event_des_small_11510 = 购买人数达到 <color=#FF8A00>1000</color>



event_des_small_11101 = 每日充值






#封测活动
ui.activity_view.beta_activity.submit_bug_toggle_text =  提Bug拿大奖
ui.activity_view.beta_activity.write_strategy_toggle_text = Lunar人气票选
ui.activity_view.beta_activity.answer_question_toggle_text = 60秒问卷拿钻石

ui.activity_view.beta_activity.submit_bug.title = 提bug拿大奖
ui.activity_view.beta_activity.submit_bug.platform = QQ群（问题专员QQ：2729681458）
ui.activity_view.beta_activity.submit_bug.time = 活动时间：<color=#00b2fd>12月2日-12月11日</color>
ui.activity_view.beta_activity.submit_bug.des =《幻姬骑士团》于12月2日起进行为期10天的删档测试。在此期间，欢迎大家积极向我们提交BUG反馈~请单独发送给QQ群内的问题专员！\n我们的客服专员会认真记录您反馈的问题，相同BUG问题，首位反馈且确认有效的玩家，我们将根据BUG严重程度给于不同的奖励。\n如若个别玩家的BUG反馈或者建议意见对我们有较大帮助，我们将会在公测后发放特殊礼包以表感谢~\n『幻姬骑士团』客服QQ：414341534\n这里有志同道合的小伙伴等待着您，让我们一起来冒险吧！





ui.activity_view.beta_activity.write_strategy.title = Lunar人气票选
ui.activity_view.beta_activity.write_strategy.platform = 活动平台：<color=#00b2fd>网页</color>
ui.activity_view.beta_activity.write_strategy.time = 活动时间：<color=#00b2fd>11月29日-12月6日</color>
ui.activity_view.beta_activity.write_strategy.des = 《幻姬骑士团》于12月2日起开始为期10天的删档测试。之前也已经揭晓了我们的神秘代言为人气二次元女团Lunar。做代言人摆拍？太普通！Lunar想要亲临战场！为您的女神拉票，让她可以化身《幻姬骑士团》得到专属自己的游戏造型，拥有炫酷特效，身披战甲加入战斗！爱她，就来帮她实现幻姬梦想吧！\n您只需访问登录专属投票网站，为您心仪的Lunar美少女投出神圣的一票，为她加油助威即可。\n『幻姬骑士团』客服QQ：414341534\n这里有志同道合的小伙伴等待着您，让我们一起来冒险吧！







ui.activity_view.beta_activity.answer_question.title = 60秒填问卷，小手一抖钻石拿
ui.activity_view.beta_activity.answer_question.platform = 活动平台：<color=#00b2fd>网页</color>
ui.activity_view.beta_activity.answer_question.time = 活动时间：<color=#00b2fd>12月2日-12月11日</color>
ui.activity_view.beta_activity.answer_question.des = 《幻姬骑士团》于12月2日起开始为期10天的删档测试。为了方便大家向我们反馈游戏期间的感受体验，我们特别制作了一份调查问卷，希望可以占用大家几分钟的时间来填写问卷，我们还为所有参与调研的玩家准备了一份精美礼包，将会于提交问卷的次日通过问卷结尾留下的信息以游戏内邮件的形式发送到角色，收集后的建议我们也会在仔细筛选后，挑选优秀的建议纳入到我们之后的修改方案，让每一位玩家都有机会参与到我们游戏的策划当中，期待您的建议，再次谢谢大家对于我们游戏一如既往的支持~感谢你们！\n调研礼包：钻石*200 金币*8000\n『幻姬骑士团』客服QQ：414341534 \n这里有志同道的小伙伴等待着您，让我们一起来冒险！
ui.activity_view.beta_activity.answer_question.go_to_button.title = 前往

#==================== 活动界面 ====================#

#==================== 任务描述 ====================#
game.task_condition_description.account_level_requirement = 需要账号等级达到{0}级
game.task_condition_description.pass_dungeon_times = 需要通关副本 [{0}] {1}次
game.task_condition_description.profession_id_and_level = 需要{0}达到{1}级
game.task_condition_description.vip_level_requirement = 需要VIP等级达到{0}级
game.task_condition_description.multiple_hero_level_requirement = 需要{0}个英雄达到{1}级
game.task_condition_description.multiple_hero_star_requirement = 需要{0}个英雄达到{1}星
game.task_condition_description.own_gold = 需要拥有{0}金币 
game.task_condition_description.own_diamond = 需要拥有{0}钻石 
game.task_condition_description.own_crystal = 需要拥有{0}水晶
game.task_condition_description.own_honor = 需要拥有{0}荣誉
game.task_condition_description.own_item = 需要拥有{0}个道具:{1}
game.task_condition_description.own_hero = 需要拥有{0}个英雄:{1}
game.task_condition_description.first_top_up_in_time = 在{0}前完成首次充值
game.task_condition_description.single_top_up = 单次充值{0}
#==================== 任务描述 ====================#

#==================== 任务界面 ====================#
ui_task_view.task_title = 任务
ui_task_view.task_toggle1 = 成就
ui_task_view.task_toggle2 = 每日
ui_task_view.task_toggle3 = 主线
ui_task_view.get_reward = 领取奖励
ui_task_view.task_complete = 任务完成
ui_task_view.task_achievement_complete = 成就完成
ui_task_view.task_daily = 每日
ui_task_view.task_achievement = 成就
ui_task_view.skip = 前往
ui_task_view.task_congratulation = 恭喜你完成任务<color=#00FF00>{0}</color>
ui_task_view.task_congratulation_achieve = 恭喜你完成成就<color=#00FF00>{0}</color>
ui_task_view.task_tip = 千万别忘记领取奖励哦!
#==================== 任务界面 ====================#

#==================== 英雄展示界面 ====================#
ui.fight_result_hero_display_view.click_any_where_to_quit_tips = 点击空白区域退出
#==================== 英雄展示界面 ====================#

#==================== 成就文字 ====================#
sheet_task.title.10201 = 账号等级
sheet_task.title.10202 = 账号等级
sheet_task.title.10203 = 账号等级
sheet_task.title.10204 = 账号等级
sheet_task.title.10205 = 账号等级
sheet_task.title.10206 = 账号等级
sheet_task.title.10207 = 账号等级
sheet_task.title.10208 = 账号等级
sheet_task.title.10209 = 账号等级
sheet_task.title.10210 = 账号等级
sheet_task.title.10211 = 账号等级
sheet_task.title.10212 = 账号等级
sheet_task.title.10301 = 英雄等级
sheet_task.title.10302 = 英雄等级
sheet_task.title.10303 = 英雄等级
sheet_task.title.10304 = 英雄等级
sheet_task.title.10305 = 英雄等级
sheet_task.title.10306 = 英雄等级
sheet_task.title.10307 = 英雄等级
sheet_task.title.10308 = 英雄等级
sheet_task.title.10401 = 竞技场累计胜利次数
sheet_task.title.10402 = 竞技场累计胜利次数
sheet_task.title.10403 = 竞技场累计胜利次数
sheet_task.title.10404 = 竞技场累计胜利次数
sheet_task.title.10405 = 竞技场累计胜利次数
sheet_task.title.10501 = 竞技场累计战斗次数
sheet_task.title.10502 = 竞技场累计战斗次数
sheet_task.title.10503 = 竞技场累计战斗次数
sheet_task.title.10504 = 竞技场累计战斗次数
sheet_task.title.10505 = 竞技场累计战斗次数
sheet_task.title.10601 = 累计资源
sheet_task.title.10602 = 累计资源
sheet_task.title.10603 = 累计资源
sheet_task.title.10604 = 累计资源
sheet_task.title.10605 = 累计资源
sheet_task.title.10606 = 累计资源
sheet_task.title.10701 = 累计十连抽
sheet_task.title.10702 = 累计十连抽
sheet_task.title.10703 = 累计十连抽
sheet_task.title.10704 = 累计十连抽
sheet_task.title.10705 = 累计十连抽
sheet_task.title.10706 = 累计十连抽
sheet_task.title.10801 = 世界树最高
sheet_task.title.10802 = 世界树最高
sheet_task.title.10803 = 世界树最高
sheet_task.title.10804 = 世界树最高
sheet_task.title.10805 = 世界树最高
sheet_task.title.10806 = 世界树最高
sheet_task.title.10807 = 世界树最高
sheet_task.title.10808 = 世界树最高
sheet_task.title.10809 = 世界树最高
sheet_task.title.10810 = 世界树最高
sheet_task.title.10811 = 世界树最高
sheet_task.title.10812 = 世界树最高
sheet_task.title.10813 = 世界树最高
sheet_task.title.10814 = 世界树最高
sheet_task.title.10901 = 伙伴突破
sheet_task.title.10902 = 伙伴突破
sheet_task.title.10903 = 伙伴突破
sheet_task.title.10904 = 伙伴突破
sheet_task.title.10905 = 伙伴突破
sheet_task.title.10906 = 伙伴突破
sheet_task.title.10907 = 伙伴突破
sheet_task.title.10908 = 伙伴突破
sheet_task.title.10909 = 伙伴突破
sheet_task.title.10910 = 伙伴突破
sheet_task.title.10911 = 伙伴突破
sheet_task.title.11001 = 英雄星级
sheet_task.title.11002 = 英雄星级
sheet_task.title.11003 = 英雄星级
sheet_task.title.11004 = 英雄星级
sheet_task.title.11005 = 英雄星级
sheet_task.title.11006 = 英雄星级
sheet_task.title.11007 = 英雄星级
sheet_task.title.11008 = 英雄星级
sheet_task.title.11101 = 累计资源
sheet_task.title.11102 = 累计资源
sheet_task.title.11103 = 累计资源
sheet_task.title.11104 = 累计资源
sheet_task.title.11105 = 累计资源
sheet_task.title.11106 = 累计资源
sheet_task.title.11201 = 累计资源
sheet_task.title.11202 = 累计资源
sheet_task.title.11203 = 累计资源
sheet_task.title.11204 = 累计资源
sheet_task.title.11205 = 累计资源
sheet_task.title.11206 = 累计资源
sheet_task.title.11301 = 强化装备
sheet_task.title.11302 = 强化装备
sheet_task.title.11303 = 强化装备
sheet_task.title.11304 = 强化装备
sheet_task.title.11305 = 强化装备
sheet_task.title.11306 = 强化装备
sheet_task.title.11401 = 装备星级
sheet_task.title.11402 = 装备星级
sheet_task.title.11403 = 装备星级
sheet_task.title.11404 = 装备星级
sheet_task.title.11405 = 装备星级
sheet_task.title.11406 = 装备星级
sheet_task.title.11407 = 装备星级
sheet_task.title.11408 = 装备星级
sheet_task.title.11501 = 装备宝石
sheet_task.title.11502 = 装备宝石
sheet_task.title.11503 = 装备宝石
sheet_task.title.11504 = 装备宝石
sheet_task.title.11505 = 装备宝石
sheet_task.title.11506 = 装备宝石
sheet_task.title.11507 = 装备宝石
sheet_task.title.11508 = 装备宝石
sheet_task.title.20101 = 扫荡关卡
sheet_task.title.20102 = 英雄强化
sheet_task.title.20103 = 购买体力
